website,name,location,distance,score,reviews,type,type2,day,price
https://www.booking.com/hotel/de/the-social-hub-berlin.de.html?label=gog235jc-1FCAEoggI46AdIM1gDaDuIAQGYAQe4AQfIAQzYAQHoAQH4AQyIAgGoAgO4AvCNnrEGwAIB0gIkZTM5MThkZGItNzQ0MS00YmQ5LTgyNTQtNDg5NTRlNjU5NWJk2AIG4AIB&sid=b69adacc145c65665d7ace9a2f315147&aid=397594&ucfs=1&arphpl=1&checkin=2024-05-01&checkout=2024-05-02&dest_id=-1746443&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=92fd468818670023&srepoch=1713866583&all_sr_blocks=498141204_212605948_0_2_0&highlighted_blocks=498141204_212605948_0_2_0&matching_block_id=498141204_212605948_0_2_0&sr_pri_blocks=498141204_212605948_0_2_0__8034&from_sustainable_property_sr=1&from=searchresults&map=1,The Social Hub Berlin Alexanderplatz,"Mitte, Berlin",Center: 2.8 km,8.2,"7,473 reviews",Executive Queen Room,1 double bed,1 night,€80
https://www.booking.com/hotel/de/innside-by-melia-berlin-mitte.de.html?label=gog235jc-1FCAEoggI46AdIM1gDaDuIAQGYAQe4AQfIAQzYAQHoAQH4AQyIAgGoAgO4AvCNnrEGwAIB0gIkZTM5MThkZGItNzQ0MS00YmQ5LTgyNTQtNDg5NTRlNjU5NWJk2AIG4AIB&sid=b69adacc145c65665d7ace9a2f315147&aid=397594&ucfs=1&arphpl=1&checkin=2024-05-01&checkout=2024-05-02&dest_id=-1746443&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=92fd468818670023&srepoch=1713866583&all_sr_blocks=26678101_338449332_2_34_0&highlighted_blocks=26678101_338449332_2_34_0&matching_block_id=26678101_338449332_2_34_0&sr_pri_blocks=26678101_338449332_2_34_0__9265&nad_id=32770859-2e5a-4f78-acb8-f5b3c0d2b885_17&nad_cpc=0.76&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6IlRaeGFlWERnL2ZLVWozWVJ1ZDZUczJnZTZtVG96SXVKY2JCaXMxNERKd2tXNW5WNUhNV3lpeTY3YjRxSTh4Nyt1M3B2VlhMTFlHRnRNUzJKV2Fab2EwYzV0UWtNQVpvdmsyU2tKUTAvdkl1aHkrcXZ4bVoyTzNGaDZsaVNvLzZGRDZWVlY5MFVGY1NwOHQ2bWVaYWhXWnRBZ3FuSDBhbm5ic25SZCtzblhIM0dQMVNWVG1hR1o1cUlWVjAzOGozZnk3TllTRmlTMlBVWFhkY2xIZEE2aCtUWGZkamVFbmpwRlFuOVZWamkvdHlCNVdkZFl3bGlPYzBYdHd1dWlpdjFySlFBM0pPeExTeUlUeHhzbnVEY2xlTmFXeFpySSthRXVzeUF3QzZSUjZDSkVSY1VUT2JNY29xR3lIam1vQjE1UHFhbTd5SVh6MEU5UU44Wkw1MEVWNTkvMkM2RHc0MmVsT1h6cFlxZGZZRDR0TUF3aWZER0FPYUVwYjBZLzNnNFd6eVBFRVhncjZlYjdseTk1Q0toalErcjgrclVleS8wSUFiQnlUOWxaMEpJM0dFM0RpLysvSytqS1pqZFFxaWZ0N3V5VUhUZzlhOENqWTlLYWRRM1dHaU5BdVJJQ3hRK3RERE1OT1M4TU9oODRVN2JHaXJadzg5WWYrWE1lYU53a1dzUy8xOE16cHhKdXd2dU5DTmh2Qno1MEVxUU1veDBPaE1VNTJMRmJhOFpEWlhCdnp2TUZFRkRsUndqcFhINlRqNm1yalBlSkZOelNoZTBhOFhRM0VJcXFNT2xDYXhIQUpMSHB6ZTNXbWRybUdFa2R3L2pJTVFub3ZrS3RTejEzT05vdU5iOElvS2VGbmFvK3BpbExhaDVCMUxQNm9FZ0lpN3FuaXdZNjFHZk92ZkpXNElValUrRG1reGNwU0dYUUlyTDVmdjlMaTkwMjJlUncyL2ZSeWdTbFBsMFNuenBZNnJVSm9MVmI4L3o1ajNTWUpOeExxYXdyMWJ2NUUydE5tRFpCcFJ6UHlTa21Ua0hIb2RqeDg3b3dxM2pXTkp4MVduQWNFTWk2WVR1c1F5Z3VwUUk5QWl0ZkV0RzZCMk43Y1B4YkxuNUljMXJyUEU2a0RCMXAvWEtEdzJaNXBIazA1RS9qTXFlTkZDcHpBWGlWY3FBa0NvakxZRVR6MXFLTksxc1BIdkxXOHZGaUtKUjJtczBLNGVwcW9JVS80RDlrUVAxY3VmZVJ3UVFQVE5iaHVzS0xMZmo3QTRVUS9QenBNZWlVNi9MeEtKMW9zMVRFUisxY1R5eU5weHp3dlZEMTg3SW5YcEhGdnpYMFFCL3ovbWc4VzY3WnllUWN6blZYMzQxVEpJL3RVWE9KSFFYbEFHOFlFN1hYZTNpdnBjVmpOdHY4Y3Ezeko3UEgxdU5sZ1Q1aWdHWlA0WkJKOWN4bGQxZWFSMmVBRDlKejEzUzIrL21GSTFNcnhIUWdKNXdjb1BaZTJGa1dhVXBzMzVXMzYwWVh5TXozQ3QzMk9JVVoxdXVZNnl5dXhSZEVGNmE2SldmQUQvZ09lMXBkTWNMVHRnTWlNSk0wQ2F1cy9vSEJjWVpNZVh6Wk1hNzRTUm8rM2FFNUt2elptVGpkQjhZMUVXZ0FQaVFlT0R5bWFJNFphUk1JL3k3K1lrdmkrOU1KbC93ejErM3Nweis2amQxUmF5NDBnVXF0Y2pZNk5ObHl0cHNWZVhBOVpQNlpoaHVCZHo3NG5rNEQ2c3JJN0ZCSzMrK2p0UXI0SFp5cXdheFhCVDN1aGt1UFJ1Y05lTDNjMlVTTmpmR2YzYjE0SzVEQStDVEtsUmlLdVpvNjZJeGJ4ZDdZanloZldxSnJzMXEvZ1RCLzRKeTJzWEQrbHN0WGtUdTJIRHpLQjhMN1k5STc3cTVXNjJwcUFnWGxvbkZobTFmektlRXlxb0YvRVNRL0g2dlRkU1pxOTdDWnFvVWd6aVIweWljKzBXRTR6ZlZnYnpWblEyMyt6b0pWelRlNXg2cHNRdnpBejJROU4zNWgwZS85TW8yREdnMlR6Zk5Fa2t6Tm5OZWZVcURGR2NaNHhEeExVNUxNTEJ1eUp2TGMyVVlhVHJNMTBpelg3VDNCTEtNOGh6Mm5kdGY3YzMxZ0ZCR1VWRUpHWmFZbFo3T0QyUmtwaGQ2VTdkMjFpNEV4UHhwWmpLSmdvMkFIeXllRFJIVncwZW1sQW43eTQvRmNFS01SaUlvUVdRSWpIVTh4S1dUd0ZWcldyeHpIeWhrNGloQXR6TTA5OUxXR3UyRW9jRjhNNGpyNFppYzhCeWszeGdOVFpEMXpGZmZFSkNVQm1oeDJJRHZtWEZoeHRER29KelYzQUJkc0hmMmdONEVQdDJkVU5GRk9WeXVZTzNsWWlKdHlYbWFoOWNJRUNoRmttR2dhZnN4ZlRYakIvcHNFcy9OKzRtZ1JVREtsRGNwUURpQkhrQ3ZoTm0zbjRPM0pOR0V0MzFkeDhZWlJSM2FxV29KYXFCU2dMaEc1NmtUVmVrZEJDaU5TcWRkdXExTFJVSjY4NmY2NnIzM3JTTHVhbUlmMmhuMGx6TDMwK20xSjRGNUxQbFQvblR5clB2Mys5c1hqOGxZbkJ6SmJrSUJ5UEtnWmVheGNkSEd6MG93S3lYLzFpUkFQS0JRUHRpQnc3TmlvNVFreVV3ZDFzeFl6VElWWTI2ZWsxMHpKUHFCandSYkE4amJndFVYNk5BQlNoZy9jTGVTazNSWVQ4L2l1eGNYaUtUYmEvL0c5OHRmbmsva01yQkVVVHNDN2tpT29FTWVvRkJyYk1qT21sdmdkY0lnNVFKZmNWMzlVTllZdmNYQ1RMNlVGMU9CREZDL1VKNWM1WGY2a0xOY2gvQmFyemhCV0tYako0eFczdDlDMHFnZHFaTGhDVEs5RVBpQmo1N3FiM1hwd2VKL3JXblR3RHJ2dDNiZmkxcXJhOURlTXRZTzVmUjFDdzVnSVFMVlRNNG9HS2d1YStGYWZHaUV4MzJmSWNONkVUa0RYcmdpY1UyTG9QTmVSY2tCWjdKTkdyNXJkbWNyMGM5YVZPbzJLSm1nWFhYcDJRK1NnWEV5UDd0NkR4ODBVRzJSOTczR0JCeU1TenhHeFk4MHhQV2FXaDFaelhIRWJ3WUlrT0JiUk9zRzFzYSt0aWxlRXBXUldRSzRzT2FsekJ0cmlJTnIvNVhBeS9nMFFwazNYaUh1ZnZCZ0ptZzFiNTBlRkNkdkQxcjJ0N2t3TFpDYU91ajBLK2d5aUFyUUZpbGpyendHS0hCTURWekdGRU1zenJ4R3hZOForemNKR0RPNWUxd2kzbEE9In0%3D&from_sustainable_property_sr=1&from=searchresults&map=1,INNSiDE by Meliá Berlin Mitte,"Mitte, Berlin",Center: 1.9 km,8.3,Sustainability certification,"6,031 reviews",The INNSiDE Room,1 night,€93
https://www.booking.com/hotel/de/motel-one-berlin-spittelmarkt.de.html?label=gog235jc-1FCAEoggI46AdIM1gDaDuIAQGYAQe4AQfIAQzYAQHoAQH4AQyIAgGoAgO4AvCNnrEGwAIB0gIkZTM5MThkZGItNzQ0MS00YmQ5LTgyNTQtNDg5NTRlNjU5NWJk2AIG4AIB&sid=b69adacc145c65665d7ace9a2f315147&aid=397594&ucfs=1&arphpl=1&checkin=2024-05-01&checkout=2024-05-02&dest_id=-1746443&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=92fd468818670023&srepoch=1713866583&all_sr_blocks=26672502_159148132_1_2_0&highlighted_blocks=26672502_159148132_1_2_0&matching_block_id=26672502_159148132_1_2_0&sr_pri_blocks=26672502_159148132_1_2_0__9345&from_sustainable_property_sr=1&from=searchresults&map=1,Motel One Berlin Spittelmarkt,"Mitte, Berlin",Center: 1.7 km,8.7,"4,667 reviews",Queen room,1 double bed,1 night,€93
https://www.booking.com/hotel/de/titanic-chaussee-berlin.de.html?label=gog235jc-1FCAEoggI46AdIM1gDaDuIAQGYAQe4AQfIAQzYAQHoAQH4AQyIAgGoAgO4AvCNnrEGwAIB0gIkZTM5MThkZGItNzQ0MS00YmQ5LTgyNTQtNDg5NTRlNjU5NWJk2AIG4AIB&sid=b69adacc145c65665d7ace9a2f315147&aid=397594&ucfs=1&arphpl=1&checkin=2024-05-01&checkout=2024-05-02&dest_id=-1746443&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=92fd468818670023&srepoch=1713866583&all_sr_blocks=155830401_265529746_1_2_0&highlighted_blocks=155830401_265529746_1_2_0&matching_block_id=155830401_265529746_1_2_0&sr_pri_blocks=155830401_265529746_1_2_0__9614&from_sustainable_property_sr=1&from=searchresults&map=1,TITANIC Chaussee Berlin,"Mitte, Berlin",Center: 1.8 km,8.2,"11,604 reviews",Classic room,Several types of beds,1 night,€96
https://www.booking.com/hotel/de/motel-one-berlin-alexanderplatz-berlin.de.html?label=gog235jc-1FCAEoggI46AdIM1gDaDuIAQGYAQe4AQfIAQzYAQHoAQH4AQyIAgGoAgO4AvCNnrEGwAIB0gIkZTM5MThkZGItNzQ0MS00YmQ5LTgyNTQtNDg5NTRlNjU5NWJk2AIG4AIB&sid=b69adacc145c65665d7ace9a2f315147&aid=397594&ucfs=1&arphpl=1&checkin=2024-05-01&checkout=2024-05-02&dest_id=-1746443&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=92fd468818670023&srepoch=1713866583&all_sr_blocks=260395602_237122214_1_2_0&highlighted_blocks=260395602_237122214_1_2_0&matching_block_id=260395602_237122214_1_2_0&sr_pri_blocks=260395602_237122214_1_2_0__10395&from_sustainable_property_sr=1&from=searchresults&map=1,Motel One Berlin-Alexanderplatz,"Mitte, Berlin",Center: 2.4 km,8.6,"12,307 reviews",Queen room,1 double bed,1 night,€104
https://www.booking.com/hotel/de/steigenberger-am-kanzleramt.de.html?label=gog235jc-1FCAEoggI46AdIM1gDaDuIAQGYAQe4AQfIAQzYAQHoAQH4AQyIAgGoAgO4AvCNnrEGwAIB0gIkZTM5MThkZGItNzQ0MS00YmQ5LTgyNTQtNDg5NTRlNjU5NWJk2AIG4AIB&sid=b69adacc145c65665d7ace9a2f315147&aid=397594&ucfs=1&arphpl=1&checkin=2024-05-01&checkout=2024-05-02&dest_id=-1746443&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=92fd468818670023&srepoch=1713866583&all_sr_blocks=100481502_338444650_2_2_0&highlighted_blocks=100481502_338444650_2_2_0&matching_block_id=100481502_338444650_2_2_0&sr_pri_blocks=100481502_338444650_2_2_0__12495&from_sustainable_property_sr=1&from=searchresults&map=1,Steigenberger Hotel Am Chancellery,"Mitte, Berlin",Center: 1 km,8.6,"7,557 reviews",Superior double room,Beds: 1 double bed or 2 single beds,1 night,€125
https://www.booking.com/hotel/de/scandic-berlin-potsdamer-platz.de.html?label=gog235jc-1FCAEoggI46AdIM1gDaDuIAQGYAQe4AQfIAQzYAQHoAQH4AQyIAgGoAgO4AvCNnrEGwAIB0gIkZTM5MThkZGItNzQ0MS00YmQ5LTgyNTQtNDg5NTRlNjU5NWJk2AIG4AIB&sid=b69adacc145c65665d7ace9a2f315147&aid=397594&ucfs=1&arphpl=1&checkin=2024-05-01&checkout=2024-05-02&dest_id=-1746443&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=92fd468818670023&srepoch=1713866583&all_sr_blocks=23731002_91468240_1_2_0&highlighted_blocks=23731002_91468240_1_2_0&matching_block_id=23731002_91468240_1_2_0&sr_pri_blocks=23731002_91468240_1_2_0__10500&from_sustainable_property_sr=1&from=searchresults&map=1,Scandic Berlin Potsdamer Platz,"Mitte, Berlin",Center: 1.3 km,8.2,"14,189 reviews",Standard double room,1 large double bed,1 night,€105
https://www.booking.com/hotel/de/grimms-am-potsdamer-platz.de.html?label=gog235jc-1FCAEoggI46AdIM1gDaDuIAQGYAQe4AQfIAQzYAQHoAQH4AQyIAgGoAgO4AvCNnrEGwAIB0gIkZTM5MThkZGItNzQ0MS00YmQ5LTgyNTQtNDg5NTRlNjU5NWJk2AIG4AIB&sid=b69adacc145c65665d7ace9a2f315147&aid=397594&ucfs=1&arphpl=1&checkin=2024-05-01&checkout=2024-05-02&dest_id=-1746443&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=92fd468818670023&srepoch=1713866583&all_sr_blocks=139821101_374108186_1_2_0&highlighted_blocks=139821101_374108186_1_2_0&matching_block_id=139821101_374108186_1_2_0&sr_pri_blocks=139821101_374108186_1_2_0__9135&from_sustainable_property_sr=1&from=searchresults&map=1,Grimm's Potsdamer Platz,"Mitte, Berlin",Center: 1.5 km,8.8,"8,156 reviews",Single room,1 single bed,1 night,€91
https://www.booking.com/hotel/de/motel-one-berlin-bellevue.de.html?label=gog235jc-1FCAEoggI46AdIM1gDaDuIAQGYAQe4AQfIAQzYAQHoAQH4AQyIAgGoAgO4AvCNnrEGwAIB0gIkZTM5MThkZGItNzQ0MS00YmQ5LTgyNTQtNDg5NTRlNjU5NWJk2AIG4AIB&sid=b69adacc145c65665d7ace9a2f315147&aid=397594&ucfs=1&arphpl=1&checkin=2024-05-01&checkout=2024-05-02&dest_id=-1746443&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=92fd468818670023&srepoch=1713866583&all_sr_blocks=18181603_388539336_1_2_0&highlighted_blocks=18181603_388539336_1_2_0&matching_block_id=18181603_388539336_1_2_0&sr_pri_blocks=18181603_388539336_1_2_0__8295&from_sustainable_property_sr=1&from=searchresults&map=1,Motel One Berlin Bellevue,"Mitte, Berlin",Center: 1.5 km,8.2,"4,091 reviews",King room,1 double bed,1 night,€83
https://www.booking.com/hotel/de/amano-grand-central.de.html?label=gog235jc-1FCAEoggI46AdIM1gDaDuIAQGYAQe4AQfIAQzYAQHoAQH4AQyIAgGoAgO4AvCNnrEGwAIB0gIkZTM5MThkZGItNzQ0MS00YmQ5LTgyNTQtNDg5NTRlNjU5NWJk2AIG4AIB&sid=b69adacc145c65665d7ace9a2f315147&aid=397594&ucfs=1&arphpl=1&checkin=2024-05-01&checkout=2024-05-02&dest_id=-1746443&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=92fd468818670023&srepoch=1713866583&all_sr_blocks=139710905_341548963_0_2_0&highlighted_blocks=139710905_341548963_0_2_0&matching_block_id=139710905_341548963_0_2_0&sr_pri_blocks=139710905_341548963_0_2_0__9350&from_sustainable_property_sr=1&from=searchresults&map=1,Hotel AMANO Grand Central,"Mitte, Berlin",Center: 1.4 km,8.2,"10,456 reviews",Small double room,1 double bed,1 night,€93
