website,name,location,distance,score,reviews,type,type2,day,price
https://www.booking.com/hotel/de/townside-hostel-bremen.en-gb.html?label=gog235jc-1FCAEoggI46AdIM1gDaDuIAQGYAQm4AQfIAQzYAQHoAQH4AQyIAgGoAgO4AtG_6bAGwAIB0gIkMDQ0Njc0OGYtZGQ4OS00OTYyLWI5YTQtZTg0YzY3YTllNzAy2AIG4AIB&sid=b69adacc145c65665d7ace9a2f315147&aid=397594&ucfs=1&arphpl=1&checkin=2024-06-01&checkout=2024-06-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=58714b5237a700e9&srepoch=1713005011&all_sr_blocks=61041511_380533852_0_2_0&highlighted_blocks=61041511_380533852_0_2_0&matching_block_id=61041511_380533852_0_2_0&sr_pri_blocks=61041511_380533852_0_2_0__2303&from=searchresults&map=1,Townside Hostel Bremen,"Mitte, Bremen",1.1 km from centre,7.7,469 reviews,Bed in 10-Bed Mixed Dormitory Room,1 bunk bed,"1 night, 1 adult",€ 23
https://www.booking.com/hotel/de/moxy-bremen.en-gb.html?label=gog235jc-1FCAEoggI46AdIM1gDaDuIAQGYAQm4AQfIAQzYAQHoAQH4AQyIAgGoAgO4AtG_6bAGwAIB0gIkMDQ0Njc0OGYtZGQ4OS00OTYyLWI5YTQtZTg0YzY3YTllNzAy2AIG4AIB&sid=b69adacc145c65665d7ace9a2f315147&aid=397594&ucfs=1&arphpl=1&checkin=2024-06-01&checkout=2024-06-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=58714b5237a700e9&srepoch=1713005011&all_sr_blocks=743442801_329570666_0_2_0&highlighted_blocks=743442801_329570666_0_2_0&matching_block_id=743442801_329570666_0_2_0&sr_pri_blocks=743442801_329570666_0_2_0__13545&nad_id=500621aa-4659-4192-b5eb-184289fa3cbb_0&nad_cpc=0.81&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6InloUnBKbTBJNzVSY00vRnJqRFlpY3RLSVV5YzMzcTJZUmZJMC9FSGxTdXlLYk8xdWY1U3d0QWY2dWlEenFOVDVaL2tNMVB4VWRjQWxQRGRXSFNmNW9Xc2d4UUk5WDVoVkp2UUpuNGFkRWpTYU54K1ZxWkpCRkdGVHZER1VUYWZuaUNwdEFCY0Y1d1F4ZEJkSDBXOXVJaWdtZHNPUUw1UGZHZTRqKzA5RnNGRG80ZHlSK00yb3RwTXF5c2NtcFlpbWp2aEEveGlHeCtxNXJLemdQbzV6ZE43S2IvZmtsd3d4NmlENHdCSkRVTitmbVFsMk1ZeGc4Z1JoL1hTc3gvSXBMRk90dm5ZeVpFUlB2Z3RQRUZQUWFZSDZPRms2OXVaR3NrNWxiMTdOdHo3R0g4YWtBbFZmRnFTdDdoa3Y4ekdManFYNldXZ1F0U0Uzc1pxczNUUUxLRWhaVHFMeDhEMU10TVRMMU9SaW1pcDVwWHJFdklDem9IOVFScXVsaU93RVorZDFZZVVpcVdqbHRXQnlueUtPM0cwMDYzVWdleXpLSkJ5cjRBVnkrUjhLcTlGQjNpS2lpUlpQNmVkTkxkMzVydGt4M3I3cmpTTjZCUDFoS1JDTkZkcS9YS2V6OVpUN1FMai8zK2NySm5HTXp5UFQ5SG9hNi9Bd2Nwckd4dW1jY1IybEF5RkhDcE0zbHpZTk80emppSTV1Y3JoUEd6Y1JramE4NE9SRVhmSWJYM0dBdjFIdDM4dVpOTVZ1Z1VnMXRKSW4rR2wyRHRXdk5ER1Vzdm0wdUdMTC8wVGl4SldGNVVpc0ZOSDV3bE5XajNvVUtHRzd4YVUreFV1SXc1WkpUMTdwbXcyenp4WnhJOEJhSHRpSlB6ZUJ2alJxN1BqOW1WZnV5QnBsUHRtYWZWeUYvbEhSTlpTUVNJdTJhaUVMbDFXdlhXYnFZRG1kUFVad1F6dTNFeDM2UmNnMnlWdkliaTNYQnM2NFd2WHFMQ0Q5N0orMG9aYTNKeTJtL3gxVHAyRXNlM1MzcmRueVVQQXNOSHRCa0J3WkNyWTV5M2cvUUdmamc5WjVqMUM3T1loaFkvNUlXb0Z0ZnVMOTRDck5nUDBjRlV4Y1dQdU5LaG1nVVYzRktpWU51dEszUTVFMG0yZnhONjFpa2pNay9zN0tDaS9EaFBQS3cxWWZwUG5vdU54T1lzRmJ1bE9lOEZuZTFKcEVyWGtJc3RXZUhQRVVmbUY4OGhwQlZFR1htREVQSlVqNGZaMUdIcVpPQXM5M3RzdzBXRjNjc1FtVXp1ZGFBckQyQmNuWkJZcWw1SnJlNmR1OTVrSXh6eHNFbkVPUU9LeDJKNFZtLzdoNDQwdmRHckxSWndFaURGZ3NrTzJEVzVsMkhaaGhtU2xkS1A4MTNLSERGajlqdlZYQlJuUHdxSkd1L25DTC90THlLekh6dnBFRUJldjd3T1hUbGFOOGEyWVpRNjM5WmZFSHFGRTZzU1FUWVFib0FjTlJhcHd2RGpMdktuVmdHODh1aGhnUjA2a3N3cnlMWG1MZWJmSkR2YlY2MXdHNWxKRFRjZEJ2T3RYMi9WRjA3dU5Zc09nNmVJVWh0S25ua2M1Vlk1WnFTcnBHN1AyZXlzNENzM3J3Kytvd0M5bnRxZjdBY0c5a25Td1RKaUVuOE9Bd09GR3pjMkJ5dC92SDZUZFdPQllzNEQ3M1Y4Zno3azBabE44elhTTGNxRHhPTGlWZlE3RXA2Q0VocE14OGtlTktBbGtFVG1mSkJ1ZVJGUHM5V0djTjJFVXU4OE1DWWdQcEpHbEg0QmJhdjRPcGhtWnBiUk5wV1daT1RReGd2L2ZzWlZiRWw1WFFwbGFKWW1nb2I3c0JwMkZwNHdtSU9LN0NJTFEyQ2xVd0RYaE05M2pSUm9xOTFKWUdaeWNZU0hXSFhKK0lRdUxUV1JyeUpVY3ExcHpwb3ZlWnltVEsrOEc0K2d3Q04vTm91V3ZzUmpkVmRhRXU1TXh1TGMzODNUWkZuOGNUcjYzeEhYcS9Mc1RoUW9tS2dIUDFXSnJmNVFBcjhBaXZ5UmlsWEVSdDZodmxtSTlKcDNsMWdQWkdHdE1NQnR5WjdYV0FDOCs5Zk81NmpVampCSzErUzh5K0lQS3c4MVhQVkJMVThmQ3Y2UkFjZS9hR0tqeU03UTJ0YVZpdGF2NHU0SEVxbHozUXNqZTRZanNiRUFHRC9qaFJ5a3p1RkhmbXVGdkZyMXhpMFhpQmNVbEoremhBSVVFVVRsUDBOcS9qSkE0NlFZSi83aFlURElwYVRLMk94RThGQzlBVSttZWRxRUtUOFIzaWUzZG5LRzM5MG8zSVJueG5ZMXpyQ3FLNDErRDBUR1BNTzN6N3lKb1lqQkVmVjFRRGhxWUl4eW1ZQmEyMEpzS3pZd2dPa3d6WC9QNXdBRHI1eEM3NUZvSlBGVm5Fc0Yxbkp3REw2b0h0bXdEZkdmUWVOSGx1aWlJVUFsUVJadkpTTlRoZ1RnYmpRWEU2cU9mQ2JhamlsNWVkd05ydWV4Vmx5UHRWQ1JsMU5FS0V3ejZRa2JTaHF5QmZ3ZWFEYlN3Y09HZlNaQkE0WmZkMlhYdjZQTUlhNFBIakFCR2JXTitnbmpKMXVtUnZZODE1aTBYa05JL3dIN3FxaUZYSHo1SEJGN3llY2lyN2p2c0xySHZ1WlVsaFIxb3I0cEtVUWxjZkprZngxazhDUFVHRkNUMGtaNnJLTFpRbTBaN0NCNGtTdm9PakZraVpnSEw5WEJ2YjY5RWRBZUdzYTVSOVBNelhyMUJwZzdOL2Fmc2J6TWlEd0IvcUQ3VkVCd1BYYnZsNFRwVGN0cmhZN05EcDcrWG5acXk0UFBXQzJvYTBhMjkrS2l4S0ZrUzhkZUtPQ3RXcGd2cXdmMzF5eWd0WmsyUlFML0NrL2R1YUJHc0FQdUVyOS9JVGlzdFZOUldpOCtWd0I3UnZna3phbjY2VG5YTFdBZE5UdEwrbWQ2WW0zMFJ4Z1Y5RGhvZWg4L3pmcGMrNlZuSkNMakZqL1g5MlgyUzBQelArQS9QalJEMmhvbzRkam0vME91TE8rQU5GaFlRVm5kaFhjU2dzbHlTYUtWaldrTUlOMlkvSVJuMHdYeEFpcVhkazJrcE1ybmFjNjZTbnVMMXViVkdrZUVhQXQ4ZTVidWpBZ3NEL1JPYS85dStZRU5xUzVBL2xPZ0lTYk5WNUowNXJXRmMwV2xUU3hlZHE1VS9lSW5YaFk3bWowKzRvZzJGTXBkNitzQUlEYzBhK1FQcDBhR2F4ejB6TUtpWDNadU9vSk9ML3d5ZTBiVmtENzg5aTZTOHJDY0JaZHNoUG9RPT0ifQ%3D%3D&from_sustainable_property_sr=1&from=searchresults&map=1,Moxy Bremen,"Walle, Bremen",1.9 km from centre,8.3,"2,610 reviews",MOXY Sleeper Queen,1 large double bed,"1 night, 1 adult",€ 135
https://www.booking.com/hotel/de/am-werdersee.en-gb.html?label=gog235jc-1FCAEoggI46AdIM1gDaDuIAQGYAQm4AQfIAQzYAQHoAQH4AQyIAgGoAgO4AtG_6bAGwAIB0gIkMDQ0Njc0OGYtZGQ4OS00OTYyLWI5YTQtZTg0YzY3YTllNzAy2AIG4AIB&sid=b69adacc145c65665d7ace9a2f315147&aid=397594&ucfs=1&arphpl=1&checkin=2024-06-01&checkout=2024-06-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=58714b5237a700e9&srepoch=1713005011&all_sr_blocks=113710601_384184973_1_0_0&highlighted_blocks=113710601_384184973_1_0_0&matching_block_id=113710601_384184973_1_0_0&sr_pri_blocks=113710601_384184973_1_0_0__4710&from_sustainable_property_sr=1&from=searchresults&map=1,Apartments Am Werdersee,"Neustadt, Bremen",1.8 km from centre,7.5,"1,324 reviews",Single Room with Shared Bathroom,"4 beds (2 singles, 1 double, 1 extra-large double)","1 night, 1 adult",€ 47
https://www.booking.com/hotel/de/pension-isabel.en-gb.html?label=gog235jc-1FCAEoggI46AdIM1gDaDuIAQGYAQm4AQfIAQzYAQHoAQH4AQyIAgGoAgO4AtG_6bAGwAIB0gIkMDQ0Njc0OGYtZGQ4OS00OTYyLWI5YTQtZTg0YzY3YTllNzAy2AIG4AIB&sid=b69adacc145c65665d7ace9a2f315147&aid=397594&ucfs=1&arphpl=1&checkin=2024-06-01&checkout=2024-06-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=58714b5237a700e9&srepoch=1713005011&all_sr_blocks=34240103_352857065_0_0_0&highlighted_blocks=34240103_352857065_0_0_0&matching_block_id=34240103_352857065_0_0_0&sr_pri_blocks=34240103_352857065_0_0_0__4600&from=searchresults&map=1,Pension Isabel I,"Neustadt, Bremen",0.8 km from centre,7.9,480 reviews,Single Room with Shared Bathroom,1 single bed,"1 night, 1 adult",€ 46
https://www.booking.com/hotel/de/hastedter-heerstrasse.en-gb.html?label=gog235jc-1FCAEoggI46AdIM1gDaDuIAQGYAQm4AQfIAQzYAQHoAQH4AQyIAgGoAgO4AtG_6bAGwAIB0gIkMDQ0Njc0OGYtZGQ4OS00OTYyLWI5YTQtZTg0YzY3YTllNzAy2AIG4AIB&sid=b69adacc145c65665d7ace9a2f315147&aid=397594&ucfs=1&arphpl=1&checkin=2024-06-01&checkout=2024-06-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=58714b5237a700e9&srepoch=1713005011&all_sr_blocks=416063404_371742532_1_0_0&highlighted_blocks=416063404_371742532_1_0_0&matching_block_id=416063404_371742532_1_0_0&sr_pri_blocks=416063404_371742532_1_0_0__3000&from=searchresults&map=1,Rana's Zimmervermittlung,"Hemelingen, Bremen",4.3 km from centre,6.7,519 reviews,Apartment,2 single beds,"1 night, 1 adult",€ 30
https://www.booking.com/hotel/de/bremenssti.en-gb.html?label=gog235jc-1FCAEoggI46AdIM1gDaDuIAQGYAQm4AQfIAQzYAQHoAQH4AQyIAgGoAgO4AtG_6bAGwAIB0gIkMDQ0Njc0OGYtZGQ4OS00OTYyLWI5YTQtZTg0YzY3YTllNzAy2AIG4AIB&sid=b69adacc145c65665d7ace9a2f315147&aid=397594&ucfs=1&arphpl=1&checkin=2024-06-01&checkout=2024-06-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=58714b5237a700e9&srepoch=1713005011&all_sr_blocks=6026916_338447149_1_2_0&highlighted_blocks=6026916_338447149_1_2_0&matching_block_id=6026916_338447149_1_2_0&sr_pri_blocks=6026916_338447149_1_2_0__10100&from_sustainable_property_sr=1&from=searchresults&map=1,Best Western Hotel Bremen City,"Mitte, Bremen",0.6 km from centre,7.3,"4,351 reviews",Economy Single Room,1 single bed,"1 night, 1 adult",€ 101
https://www.booking.com/hotel/de/ibis-bremen-altstadt.en-gb.html?label=gog235jc-1FCAEoggI46AdIM1gDaDuIAQGYAQm4AQfIAQzYAQHoAQH4AQyIAgGoAgO4AtG_6bAGwAIB0gIkMDQ0Njc0OGYtZGQ4OS00OTYyLWI5YTQtZTg0YzY3YTllNzAy2AIG4AIB&sid=b69adacc145c65665d7ace9a2f315147&aid=397594&ucfs=1&arphpl=1&checkin=2024-06-01&checkout=2024-06-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=58714b5237a700e9&srepoch=1713005011&all_sr_blocks=4442404_365120465_1_2_0&highlighted_blocks=4442404_365120465_1_2_0&matching_block_id=4442404_365120465_1_2_0&sr_pri_blocks=4442404_365120465_1_2_0__10710&from=searchresults&map=1,B&B Hotel Bremen-Altstadt,"Mitte, Bremen",0.9 km from centre,7.6,"1,675 reviews",Double Room,1 large double bed,"1 night, 1 adult",€ 107
https://www.booking.com/hotel/de/meininger-bremen-hauptbahnhof.en-gb.html?label=gog235jc-1FCAEoggI46AdIM1gDaDuIAQGYAQm4AQfIAQzYAQHoAQH4AQyIAgGoAgO4AtG_6bAGwAIB0gIkMDQ0Njc0OGYtZGQ4OS00OTYyLWI5YTQtZTg0YzY3YTllNzAy2AIG4AIB&sid=b69adacc145c65665d7ace9a2f315147&aid=397594&ucfs=1&arphpl=1&checkin=2024-06-01&checkout=2024-06-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=58714b5237a700e9&srepoch=1713005011&all_sr_blocks=827256405_347224783_0_2_0&highlighted_blocks=827256405_347224783_0_2_0&matching_block_id=827256405_347224783_0_2_0&sr_pri_blocks=827256405_347224783_0_2_0__3119&from_sustainable_property_sr=1&from=searchresults&map=1,MEININGER Hotel Bremen Hauptbahnhof,"Mitte, Bremen",0.8 km from centre,8.2,"3,226 reviews",Bed in 4-Bed Mixed Dormitory Room,1 bunk bed,"1 night, 1 adult",€ 31
https://www.booking.com/hotel/de/downtown-apartments-bremen.en-gb.html?label=gog235jc-1FCAEoggI46AdIM1gDaDuIAQGYAQm4AQfIAQzYAQHoAQH4AQyIAgGoAgO4AtG_6bAGwAIB0gIkMDQ0Njc0OGYtZGQ4OS00OTYyLWI5YTQtZTg0YzY3YTllNzAy2AIG4AIB&sid=b69adacc145c65665d7ace9a2f315147&aid=397594&ucfs=1&arphpl=1&checkin=2024-06-01&checkout=2024-06-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=58714b5237a700e9&srepoch=1713005011&all_sr_blocks=1089140804_381830052_1_0_0&highlighted_blocks=1089140804_381830052_1_0_0&matching_block_id=1089140804_381830052_1_0_0&sr_pri_blocks=1089140804_381830052_1_0_0__2200&from=searchresults&map=1,Downtown Apartments,"Neustadt, Bremen",1.4 km from centre,6.6,126 reviews,Bed in 4-Bed Male Dormitory Room,1 bunk bed,"1 night, 1 adult",€ 22
https://www.booking.com/hotel/de/motel-one-bremen.en-gb.html?label=gog235jc-1FCAEoggI46AdIM1gDaDuIAQGYAQm4AQfIAQzYAQHoAQH4AQyIAgGoAgO4AtG_6bAGwAIB0gIkMDQ0Njc0OGYtZGQ4OS00OTYyLWI5YTQtZTg0YzY3YTllNzAy2AIG4AIB&sid=b69adacc145c65665d7ace9a2f315147&aid=397594&ucfs=1&arphpl=1&checkin=2024-06-01&checkout=2024-06-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=58714b5237a700e9&srepoch=1713005011&all_sr_blocks=110874701_388142840_1_2_0&highlighted_blocks=110874701_388142840_1_2_0&matching_block_id=110874701_388142840_1_2_0&sr_pri_blocks=110874701_388142840_1_2_0__11445&from_sustainable_property_sr=1&from=searchresults&map=1,Motel One Bremen,"Mitte, Bremen",0.6 km from centre,8.2,"4,134 reviews",Room with King Size bed,1 large double bed,"1 night, 1 adult",€ 114
