website,name,location,distance,score,reviews,type,type2,day,price
https://www.booking.com/hotel/de/apartment040.en-gb.html?label=gog235jc-1FCAEoggI46AdIM1gDaDuIAQGYAQm4AQfIAQzYAQHoAQH4AQyIAgGoAgO4AtG_6bAGwAIB0gIkMDQ0Njc0OGYtZGQ4OS00OTYyLWI5YTQtZTg0YzY3YTllNzAy2AIG4AIB&sid=b69adacc145c65665d7ace9a2f315147&aid=397594&ucfs=1&arphpl=1&checkin=2024-06-01&checkout=2024-06-02&dest_id=-1785434&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=e87b4a775a41005d&srepoch=1713004922&all_sr_blocks=117552210_366145876_1_0_0&highlighted_blocks=117552210_366145876_1_0_0&matching_block_id=117552210_366145876_1_0_0&sr_pri_blocks=117552210_366145876_1_0_0__29240&from_sustainable_property_sr=1&from=searchresults&map=1,Apartment040,"Uhlenhorst, Hamburg",2.8 km from centre,8.7,"2,623 reviews",Superior Studio,1 double bed,"1 night, 1 adult",€ 292
https://www.booking.com/hotel/de/cab20.en-gb.html?label=gog235jc-1FCAEoggI46AdIM1gDaDuIAQGYAQm4AQfIAQzYAQHoAQH4AQyIAgGoAgO4AtG_6bAGwAIB0gIkMDQ0Njc0OGYtZGQ4OS00OTYyLWI5YTQtZTg0YzY3YTllNzAy2AIG4AIB&sid=b69adacc145c65665d7ace9a2f315147&aid=397594&ucfs=1&arphpl=1&checkin=2024-06-01&checkout=2024-06-02&dest_id=-1785434&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=e87b4a775a41005d&srepoch=1713004922&all_sr_blocks=684206501_365028885_1_0_0&highlighted_blocks=684206501_365028885_1_0_0&matching_block_id=684206501_365028885_1_0_0&sr_pri_blocks=684206501_365028885_1_0_0__17800&from_sustainable_property_sr=1&from=searchresults&map=1,CAB20,"St. Georg, Hamburg",1.1 km from centre,8.5,"15,506 reviews",Single Cabin with Shared Bathroom,1 single bed,"1 night, 1 adult",€ 178
https://www.booking.com/hotel/de/hood-house.en-gb.html?label=gog235jc-1FCAEoggI46AdIM1gDaDuIAQGYAQm4AQfIAQzYAQHoAQH4AQyIAgGoAgO4AtG_6bAGwAIB0gIkMDQ0Njc0OGYtZGQ4OS00OTYyLWI5YTQtZTg0YzY3YTllNzAy2AIG4AIB&sid=b69adacc145c65665d7ace9a2f315147&aid=397594&ucfs=1&arphpl=1&checkin=2024-06-01&checkout=2024-06-02&dest_id=-1785434&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=e87b4a775a41005d&srepoch=1713004922&all_sr_blocks=692872202_285296106_1_2_0&highlighted_blocks=692872202_285296106_1_2_0&matching_block_id=692872202_285296106_1_2_0&sr_pri_blocks=692872202_285296106_1_2_0__37910&from_sustainable_property_sr=1&from=searchresults&map=1,hood house,"Winterhude, Hamburg",4 km from centre,8.6,"3,309 reviews",Cozyhood+,1 large double bed,"1 night, 1 adult",€ 379
https://www.booking.com/hotel/de/apartmenthotelhamburghamm.en-gb.html?label=gog235jc-1FCAEoggI46AdIM1gDaDuIAQGYAQm4AQfIAQzYAQHoAQH4AQyIAgGoAgO4AtG_6bAGwAIB0gIkMDQ0Njc0OGYtZGQ4OS00OTYyLWI5YTQtZTg0YzY3YTllNzAy2AIG4AIB&sid=b69adacc145c65665d7ace9a2f315147&aid=397594&ucfs=1&arphpl=1&checkin=2024-06-01&checkout=2024-06-02&dest_id=-1785434&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=e87b4a775a41005d&srepoch=1713004922&all_sr_blocks=6055764_373458459_2_2_0&highlighted_blocks=6055764_373458459_2_2_0&matching_block_id=6055764_373458459_2_2_0&sr_pri_blocks=6055764_373458459_2_2_0__45414&from_sustainable_property_sr=1&from=searchresults&map=1,Apartment-Hotel Hamburg Mitte,Hamburg,3.4 km from centre,8.2,"8,221 reviews",Junior Suite with Balcony,"2 beds (1 extra-large double, 1 sofa bed)","1 night, 1 adult",€ 454
https://www.booking.com/hotel/de/hampton-by-hilton-hamburg-city-centre.en-gb.html?label=gog235jc-1FCAEoggI46AdIM1gDaDuIAQGYAQm4AQfIAQzYAQHoAQH4AQyIAgGoAgO4AtG_6bAGwAIB0gIkMDQ0Njc0OGYtZGQ4OS00OTYyLWI5YTQtZTg0YzY3YTllNzAy2AIG4AIB&sid=b69adacc145c65665d7ace9a2f315147&aid=397594&ucfs=1&arphpl=1&checkin=2024-06-01&checkout=2024-06-02&dest_id=-1785434&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=e87b4a775a41005d&srepoch=1713004922&all_sr_blocks=237297704_357746796_2_1_0&highlighted_blocks=237297704_357746796_2_1_0&matching_block_id=237297704_357746796_2_1_0&sr_pri_blocks=237297704_357746796_2_1_0__22176&from_sustainable_property_sr=1&from=searchresults&map=1,Hampton By Hilton Hamburg City Centre,"Hammerbrook, Hamburg",1.1 km from centre,7.9,"9,997 reviews",Queen Room with Sofa Bed,"2 beds (1 sofa bed, 1 large double)","1 night, 1 adult",€ 222
https://www.booking.com/hotel/de/eazedenhotelhamburg.en-gb.html?label=gog235jc-1FCAEoggI46AdIM1gDaDuIAQGYAQm4AQfIAQzYAQHoAQH4AQyIAgGoAgO4AtG_6bAGwAIB0gIkMDQ0Njc0OGYtZGQ4OS00OTYyLWI5YTQtZTg0YzY3YTllNzAy2AIG4AIB&sid=b69adacc145c65665d7ace9a2f315147&aid=397594&ucfs=1&arphpl=1&checkin=2024-06-01&checkout=2024-06-02&dest_id=-1785434&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=e87b4a775a41005d&srepoch=1713004922&all_sr_blocks=6101509_0_1_0_0&highlighted_blocks=6101509_0_1_0_0&matching_block_id=6101509_0_1_0_0&sr_pri_blocks=6101509_0_1_0_0__16537&from_sustainable_property_sr=1&from=searchresults&map=1,NYCE Hotel Hamburg City,"St. Georg, Hamburg",0.8 km from centre,7.8,"1,965 reviews",Single Room,1 single bed,"1 night, 1 adult",€ 165
https://www.booking.com/hotel/de/novhhcitysued.en-gb.html?label=gog235jc-1FCAEoggI46AdIM1gDaDuIAQGYAQm4AQfIAQzYAQHoAQH4AQyIAgGoAgO4AtG_6bAGwAIB0gIkMDQ0Njc0OGYtZGQ4OS00OTYyLWI5YTQtZTg0YzY3YTllNzAy2AIG4AIB&sid=b69adacc145c65665d7ace9a2f315147&aid=397594&ucfs=1&arphpl=1&checkin=2024-06-01&checkout=2024-06-02&dest_id=-1785434&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=e87b4a775a41005d&srepoch=1713004922&all_sr_blocks=6134219_374571461_1_42_0&highlighted_blocks=6134219_374571461_1_42_0&matching_block_id=6134219_374571461_1_42_0&sr_pri_blocks=6134219_374571461_1_42_0__19900&from_sustainable_property_sr=1&from=searchresults&map=1,Mercure Hotel Hamburg City,"Hammerbrook, Hamburg",1.3 km from centre,7.8,"3,836 reviews",Superior Double Room with Sofa,"2 beds (1 double, 1 sofa bed)","1 night, 1 adult",€ 199
https://www.booking.com/hotel/de/generator-hostel-hamburg.en-gb.html?label=gog235jc-1FCAEoggI46AdIM1gDaDuIAQGYAQm4AQfIAQzYAQHoAQH4AQyIAgGoAgO4AtG_6bAGwAIB0gIkMDQ0Njc0OGYtZGQ4OS00OTYyLWI5YTQtZTg0YzY3YTllNzAy2AIG4AIB&sid=b69adacc145c65665d7ace9a2f315147&aid=397594&ucfs=1&arphpl=1&checkin=2024-06-01&checkout=2024-06-02&dest_id=-1785434&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=e87b4a775a41005d&srepoch=1713004922&all_sr_blocks=31222809_139595426_0_2_0&highlighted_blocks=31222809_139595426_0_2_0&matching_block_id=31222809_139595426_0_2_0&sr_pri_blocks=31222809_139595426_0_2_0__5481&from_sustainable_property_sr=1&from=searchresults&map=1,Generator Hamburg,"St. Georg, Hamburg",0.7 km from centre,6.9,"9,718 reviews",Bed in 8-Bed Mixed Dormitory Room,1 bunk bed,"1 night, 1 adult",€ 55
https://www.booking.com/hotel/de/holiday-inn-hamburg-hafencity.en-gb.html?label=gog235jc-1FCAEoggI46AdIM1gDaDuIAQGYAQm4AQfIAQzYAQHoAQH4AQyIAgGoAgO4AtG_6bAGwAIB0gIkMDQ0Njc0OGYtZGQ4OS00OTYyLWI5YTQtZTg0YzY3YTllNzAy2AIG4AIB&sid=b69adacc145c65665d7ace9a2f315147&aid=397594&ucfs=1&arphpl=1&checkin=2024-06-01&checkout=2024-06-02&dest_id=-1785434&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=e87b4a775a41005d&srepoch=1713004922&all_sr_blocks=399180505_246084037_1_2_0&highlighted_blocks=399180505_246084037_1_2_0&matching_block_id=399180505_246084037_1_2_0&sr_pri_blocks=399180505_246084037_1_2_0__26900&from_sustainable_property_sr=1&from=searchresults&map=1,"Holiday Inn - Hamburg - HafenCity, an IHG Hotel","HafenCity, Hamburg",1 km from centre,8.5,"7,832 reviews",Standard Room - Non-Smoking,1 large double bed,"1 night, 1 adult",€ 269
https://www.booking.com/hotel/de/radisson-sas-hamburg.en-gb.html?label=gog235jc-1FCAEoggI46AdIM1gDaDuIAQGYAQm4AQfIAQzYAQHoAQH4AQyIAgGoAgO4AtG_6bAGwAIB0gIkMDQ0Njc0OGYtZGQ4OS00OTYyLWI5YTQtZTg0YzY3YTllNzAy2AIG4AIB&sid=b69adacc145c65665d7ace9a2f315147&aid=397594&ucfs=1&arphpl=1&checkin=2024-06-01&checkout=2024-06-02&dest_id=-1785434&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=e87b4a775a41005d&srepoch=1713004922&all_sr_blocks=2525501_338456937_1_2_0&highlighted_blocks=2525501_338456937_1_2_0&matching_block_id=2525501_338456937_1_2_0&sr_pri_blocks=2525501_338456937_1_2_0__20428&from_sustainable_property_sr=1&from=searchresults&map=1,"Radisson Blu Hotel, Hamburg","St. Pauli, Hamburg",1.5 km from centre,8.3,"10,127 reviews",Standard Room,Beds: 1 double or 2 singles,"1 night, 1 adult",€ 204
