website1,website2,name,location,description,type,city
https://lp-cms-production.imgix.net/2019-06/d6b6f8b40b4b1772b8f9748292070b6b-museumsinsel.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/berline/mitte-scheunenviertel/attractions/museumsinsel/a/poi-sig/1212462/1320672,Museumsinsel,Museumsinsel & Alexanderplatz,"Walk through ancient Babylon, meet an Egyptian queen, clamber up a Greek altar or be mesmerized by Monet's ethereal landscapes. Welcome to Museumsinsel …",must_see,Berlin
https://lp-cms-production.imgix.net/2021-08/shutterstockRF_83567404.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/berline/mitte-scheunenviertel/attractions/neues-museum/a/poi-sig/1103956/1320672,Neues Museum,Museumsinsel & Alexanderplatz,"For over 60 years, not a soul was able to visit Berlin’s Neues Museum – in fact, it sat in ruins. But today it’s one of the city’s most celebrated…",must_see,Berlin
https://lp-cms-production.imgix.net/2019-06/d5aeedf5ee5a5a2b0f1287c7139a4e54-pergamonmuseum.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/berline/mitte-scheunenviertel/attractions/pergamonmuseum/a/poi-sig/1118820/1320672,Pergamonmuseum,Museumsinsel & Alexanderplatz,The Pergamonmuseum is one of Berlin’s most visited historical gems and perhaps also its most controversial. This museum offers an archaeological time-warp…,must_see,Berlin
https://lp-cms-production.imgix.net/2021-08/shutterstockRF_345802901.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/berlin/friedrichshain/attractions/east-side-gallery/a/poi-sig/1104617/1320681,East Side Gallery,Friedrichshain,The East Side Gallery is the embodiment of Berlin’s grit and guts.,must_see,Berlin
https://lp-cms-production.imgix.net/2024-02/GettyImages-1610343451.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/berline/mitte-scheunenviertel/attractions/fernsehturm/a/poi-sig/1104016/1320672,Fernsehturm,Museumsinsel & Alexanderplatz,"Germany's tallest structure, the TV Tower is a Berlin icon.",must_see,Berlin
https://lp-cms-production.imgix.net/2019-06/eb96d7e701ce4aa831c7d5c5bb3b07a6-topographie-des-terrors.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/berlin/historic-mitte/attractions/topographie-des-terrors/a/poi-sig/1104144/1320673,Topographie des Terrors,Historic Mitte,This compelling exhibit tells stories of terror and persecution in Nazi Germany.,must_see,Berlin
https://lp-cms-production.imgix.net/2019-06/84b66833b9d533153156a1a7a86ee75c-schloss-charlottenburg.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/berlin/charlottenburg-and-northern-wilmersdorf/attractions/schloss-charlottenburg/a/poi-sig/1119921/1320678,Schloss Charlottenburg,City West & Charlottenburg,"Charlottenburg Palace is one of Berlin's few sites that still reflect the one-time grandeur of the Hohenzollern clan, which ruled the region from 1415 to…",must_see,Berlin
https://lp-cms-production.imgix.net/2019-06/39c18809bc06a1d15807b55d2cec4460-gemaldegalerie.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/berlin/potsdamer-platz-and-tiergarten/attractions/gemaeldegalerie/a/poi-sig/372813/1320670,Gemäldegalerie,Berlin,This museum ranks among the world's finest and most comprehensive collections of European art with about 1500 paintings spanning the arc of artistic…,must_see,Berlin
https://lp-cms-production.imgix.net/2019-06/61e793f310b8c43cf9caa9e3b3c927c9-reichstag.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/berlin/historic-mitte/attractions/reichstag/a/poi-sig/1204418/1320673,Reichstag,Historic Mitte,"It’s been burned, bombed, rebuilt, buttressed by the Wall, wrapped in fabric and finally turned into the modern home of the German parliament by Norman…",must_see,Berlin
https://lp-cms-production.imgix.net/2019-06/shutterstock_227299543.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/berlin/attractions/stasi-prison/a/poi-sig/1104443/359364,Stasi Prison,Berlin,"Victims of Stasi persecution often ended up in this grim remand prison, now a memorial site officially called Gedenkstätte Berlin-Hohenschönhausen. Tours …",must_see,Berlin
https://lp-cms-production.imgix.net/2019-06/107c574c7fd1f926a12f6973c5c9bd24-deutsches-historisches-museum.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/berlin/historic-mitte/attractions/deutsches-historisches-museum/a/poi-sig/1103813/1320673,Deutsches Historisches Museum,Historic Mitte,"If you’re wondering what the Germans have been up to for the past 1500 years, take a spin around the baroque Zeughaus, formerly the Prussian arsenal and…",must_see,Berlin
