website1,website2,name,location,description,type,city
https://lonelyplanetstatic.imgix.net/marketing/placeholders/placeholder-attractions.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/lower-saxony/hanover/attractions/herrenhaeuser-gaerten/a/poi-sig/421051/359378,Herrenhäuser Gärten,Hanover,"Proof that Hanover is not all buttoned-down business are the grandiose Baroque Royal Gardens of Herrenhausen, about 5km north of the city centre, which…",must_see,Lower Saxony & Bremen
https://lp-cms-production.imgix.net/2019-06/2ade38eacaec28857c1ef5be0496a783-bergen-belsen.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/bergen-belsen/attractions/gedenkstaette-bergen-belsen/a/poi-sig/1141388/1316482,Gedenkstätte Bergen-Belsen,Lower Saxony & Bremen,"The Nazi-built camp at Bergen-Belsen began its existence in 1940 as a POW camp, but became a concentration camp after being taken over by the SS in 1943,…",must_see,Lower Saxony & Bremen
https://lonelyplanetstatic.imgix.net/marketing/placeholders/placeholder-attractions.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/lower-saxony/attractions/schloss-marienburg/a/poi-sig/421071/359377,Schloss Marienburg,Lower Saxony & Bremen,"Perched grandly above the Leine River, the neo-Gothic Schloss Marienburg (built from 1858–67) was a present from Hanover's King George V to his wife Marie…",must_see,Lower Saxony & Bremen
https://lonelyplanetstatic.imgix.net/marketing/placeholders/placeholder-attractions.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/bremen-city/attractions/denkort-bunker-valentin/a/poi-sig/1594591/1316498,Denkort Bunker Valentin,Bremen City,"In 1943, the Nazis started construction of a massive concrete bunker to build submarines in. At a planned production rate of 12 subs per month it was…",must_see,Lower Saxony & Bremen
https://lonelyplanetstatic.imgix.net/marketing/placeholders/placeholder-attractions.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/lower-saxony/wolfsburg/attractions/autostadt/a/poi-sig/463226/359379,Autostadt,Lower Saxony & Bremen,"A hit with car buffs of all ages, Autostadt is a celebration of all things automobile, spread across 25 hectares. A visit to this theme park and museum…",must_see,Lower Saxony & Bremen
https://lonelyplanetstatic.imgix.net/marketing/placeholders/placeholder-attractions.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/bremerhaven/attractions/deutsches-auswandererhaus/a/poi-sig/1297184/1316499,Deutsches Auswandererhaus,Bremen & the East Frisian Coast,"This spectacular museum stands on the spot where more than 7.2 million emigrants set sail for the US, South America and Australia between 1830 and 1942,…",must_see,Lower Saxony & Bremen
https://lonelyplanetstatic.imgix.net/marketing/placeholders/placeholder-attractions.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/saxony/braunschweig/attractions/herzog-anton-ulrich-museum/a/poi-sig/1594038/359407,Herzog Anton Ulrich Museum,Lower Saxony & Bremen,"One of Europe's oldest museums, the Anton Ulrich has a world-class art collection, with about 1400 paintings, several hundred bronze and stone sculptures,…",must_see,Lower Saxony & Bremen
https://lonelyplanetstatic.imgix.net/marketing/placeholders/placeholder-attractions.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/lower-saxony/hanover/attractions/sprengel-museum/a/poi-sig/421073/359378,Sprengel Museum,Hanover,"The Sprengel Museum is held in extremely high esteem, both for the design of the building as well as for the art housed inside. Its huge interior spaces…",must_see,Lower Saxony & Bremen
https://lonelyplanetstatic.imgix.net/marketing/placeholders/placeholder-attractions.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/bremen-city/attractions/kunsthalle/a/poi-sig/1206152/1316498,Kunsthalle,Bremen City,"For art lovers, the highlight of Bremen’s Kulturmeile (Cultural Mile) is the Kunsthalle, which presents a large permanent collection of paintings,…",must_see,Lower Saxony & Bremen
https://lonelyplanetstatic.imgix.net/marketing/placeholders/placeholder-attractions.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/bremen-city/attractions/boettcherstrasse/a/poi-sig/489292/1316498,Böttcherstrasse,Bremen City,The charming medieval coopers lane was transformed into a prime example of mostly expressionist architecture in the 1920s at the instigation of coffee…,must_see,Lower Saxony & Bremen
https://lonelyplanetstatic.imgix.net/marketing/placeholders/placeholder-attractions.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/lower-saxony/hanover/attractions/neues-rathaus/a/poi-sig/421063/359378,Neues Rathaus,Hanover,An excellent way to get your bearings in Hanover is to visit the Neues Rathaus (built 1901–13) and ascend 98m in the curved elevator (the only one of its…,must_see,Lower Saxony & Bremen
https://lonelyplanetstatic.imgix.net/marketing/placeholders/placeholder-attractions.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/emden/attractions/kunsthalle/a/poi-sig/1141637/1320720,Kunsthalle,Bremen & the East Frisian Coast,"Emden’s art gallery shows off a range of big, bold canvases, focusing on 20th-century art, in its light-flooded, white-and-exposed-timber rooms. Every few…",must_see,Lower Saxony & Bremen
https://lonelyplanetstatic.imgix.net/marketing/placeholders/placeholder-attractions.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/bremerhaven/attractions/klimahaus-bremerhaven-80-ost/a/poi-sig/1141842/1316499,Klimahaus Bremerhaven 8° Ost,Bremen & the East Frisian Coast,"This shiny, space-age museum offers a journey around the world along the longitudinal meridian 8° east, through climate zones in Switzerland, Italy, Niger…",must_see,Lower Saxony & Bremen
https://lonelyplanetstatic.imgix.net/marketing/placeholders/placeholder-attractions.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/hildesheim/attractions/dommuseum/a/poi-sig/1141416/1316484,Dommuseum,Lower Saxony & Bremen,This engaging museum showcases 1000 years of church history in the cloisters of World Heritage–listed Mariendom Cathedral. Its permanent exhibition From…,must_see,Lower Saxony & Bremen
https://lonelyplanetstatic.imgix.net/marketing/placeholders/placeholder-attractions.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/lower-saxony/wolfsburg/attractions/phaeno/a/poi-sig/463232/359379,Phaeno,Lower Saxony & Bremen,The glass-and-concrete building that houses this brilliant and engaging science centre was designed by the late British-Iraqi architect Dame Zaha Hadid…,must_see,Lower Saxony & Bremen
https://lonelyplanetstatic.imgix.net/marketing/placeholders/placeholder-attractions.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/bremen-city/attractions/universum-science-centre/a/poi-sig/489318/1316498,Universum Science Centre,Bremen City,"Bremen has a strong aerospace industry, and space buffs will enjoy the eye-catching, oyster-shaped Universum Science Centre, where you can make virtual…",must_see,Lower Saxony & Bremen
