website1,website2,name,location,description,type,city
https://lp-cms-production.imgix.net/2019-06/fd2e8a82008e446eae012018e4ad896c-mahnmal-st-nikolai.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/hamburg/altstadt/attractions/mahnmal-st-nikolai/a/poi-sig/1139884/1342301,Mahnmal St-Nikolai,Altstadt,"St Nikolai church was the world’s tallest building from 1874 to 1876, and it remains Hamburg’s second-tallest structure (after the TV tower). Mostly…",must_see,Hamburg
https://lp-cms-production.imgix.net/2019-06/b7870ba006a5306c81309096be26d79f-fischmarkt.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/hamburg/st-pauli-reeperbahn/attractions/fischmarkt/a/poi-sig/420903/1342305,Fischmarkt,St Pauli & Reeperbahn,"Here's the perfect excuse to stay up all Saturday night. Every Sunday in the wee hours, some 70,000 locals and visitors descend upon the famous Fischmarkt…",must_see,Hamburg
https://lp-cms-production.imgix.net/2019-06/ebb3ab7b1944d3bce1619fe08f48ff1a-elbphilharmonie.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/hamburg/speicherstadt-hafencity/attractions/elbphilharmonie/a/poi-sig/420899/1342304,Elbphilharmonie,Hamburg,Welcome to one of the most Europe's most exciting recent architectural creations. A squat brown-brick former warehouse at the far west of HafenCity was…,must_see,Hamburg
https://lp-cms-production.imgix.net/2019-06/d7b9579e8f623e14a305be51ca70e81e-hamburger-kunsthalle.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/hamburg/altstadt/attractions/hamburger-kunsthalle/a/poi-sig/1270318/1342301,Hamburger Kunsthalle,Altstadt,"A treasure trove of art from the Renaissance to the present day, the Kunsthalle spans two buildings linked by an underground passage. The main building…",must_see,Hamburg
https://lonelyplanetstatic.imgix.net/marketing/placeholders/placeholder-attractions.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/hamburg/altstadt/attractions/rathaus/a/poi-sig/420933/1342301,Rathaus,Altstadt,"With its spectacular coffered ceiling, Hamburg’s baroque Rathaus is one of Europe’s most opulent, and is renowned for its Emperor’s Hall and Great Hall…",must_see,Hamburg
https://lonelyplanetstatic.imgix.net/marketing/placeholders/placeholder-attractions.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/hamburg/neustadt/attractions/st-michaelis-kirche/a/poi-sig/420941/1342302,St Michaelis Kirche,Hamburg,"‘Der Michel’, as it is affectionately called, is one of Hamburg’s most recognisable landmarks and northern Germany’s largest Protestant baroque church…",must_see,Hamburg
https://lonelyplanetstatic.imgix.net/marketing/placeholders/placeholder-attractions.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/hamburg/st-pauli-reeperbahn/attractions/st-pauli-nachtmarkt/a/poi-sig/1597806/1342305,St Pauli Nachtmarkt,St Pauli & Reeperbahn,"Wednesday late afternoon and evening is a terrific time to be in St Pauli when the weekly night market takes over Spielbudenplatz with food stalls, live…",must_see,Hamburg
https://lp-cms-production.imgix.net/2019-06/e7cfe4251f728261fe40fca014ac2e93-miniatur-wunderland.jpg?auto=format&fit=crop&ar=1:1&q=75,https://www.lonelyplanet.com/germany/hamburg/speicherstadt-hafencity/attractions/miniatur-wunderland/a/poi-sig/1139891/1342304,Miniatur Wunderland,Hamburg,Even the worst cynics are quickly transformed into fans of this vast miniature world that goes on and on. The model trains wending their way through the…,must_see,Hamburg
https://lp-cms-production.imgix.net/2019-06/3858728d2bd3e4741c8f33e5ac72ab78-chilehaus.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/hamburg/altstadt/attractions/chilehaus/a/poi-sig/420887/1342301,Chilehaus,Altstadt,One of Hamburg's most beautiful buildings is the crowning gem of the new Unesco-anointed Kontorhaus District. The brown-brick 1924 Chilehaus is shaped…,must_see,Hamburg
https://lp-cms-production.imgix.net/2019-06/f2b960b66fefdd5e67d081c66672487e-auswanderermuseum-ballinstadt.jpg?auto=format&fit=crop&ar=1:1&q=75,https://www.lonelyplanet.com/germany/hamburg/attractions/auswanderermuseum-ballinstadt/a/poi-sig/1293860/359370,Auswanderermuseum BallinStadt,Hamburg,"Sort of a bookend for New York's Ellis Island, Hamburg's excellent emigration museum looks at the conditions that drove about 5 million people to leave…",must_see,Hamburg
