website1,website2,name,description,location,type,city
https://lp-cms-production.imgix.net/2019-06/c21b51260b1758d5a572285da8487f2d-schloss-nymphenburg.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/munich/nymphenburg-neuhausen-olympiapark/attractions/schloss-nymphenburg/a/poi-sig/1139822/1342299,Schloss Nymphenburg,"This commanding palace and its lavish gardens sprawl around 5km northwest of the Altstadt. Begun in 1664 as a villa for Electress Adelaide of Savoy, the…",Munich,must_see,Munich
https://lp-cms-production.imgix.net/2019-06/eeae0047cda714cecbf98910d547c149-residenzmuseum.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/munich/altstadt-residenz/attractions/residenzmuseum/a/poi-sig/409126/1342295,Residenzmuseum,"Home to Bavaria's Wittelsbach rulers from 1508 until WWI, the Residenz is Munich's number-one attraction. The amazing treasures, as well as all the…",Munich,must_see,Munich
https://lp-cms-production.imgix.net/2019-06/3efd10b26a3e66cfa6e6263c41cf5a15-alte-pinakothek.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/munich/maxvorstadt/attractions/alte-pinakothek/a/poi-sig/409068/1342296,Alte Pinakothek,Munich's main repository of Old European Masters is crammed with all the major players who decorated canvases between the 14th and 18th centuries. This…,Munich,must_see,Munich
https://lp-cms-production.imgix.net/2019-06/0d9fc0b341380202dd4e3b8a315b19b0-englischer-garten.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/munich/schwabing-the-englischer-garten/attractions/englischer-garten/a/poi-sig/409152/1342297,Englischer Garten,The sprawling English Garden is among Europe's biggest city parks – it even rivals London's Hyde Park and New York's Central Park for size – and is a…,Munich,must_see,Munich
https://lp-cms-production.imgix.net/2019-06/c9d2c441102bc416776f4aeb6c62258f-pinakothek-der-moderne.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/munich/maxvorstadt/attractions/pinakothek-der-moderne/a/poi-sig/1207690/1342296,Pinakothek der Moderne,"Germany's largest modern-art museum unites four significant collections under a single roof: 20th-century art, applied design from the 19th century to…",Munich,must_see,Munich
https://lp-cms-production.imgix.net/2019-06/fa0b31d761cbfa03bf958107f14226a2-bayerisches-nationalmuseum.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/munich/schwabing-the-englischer-garten/attractions/bayerisches-nationalmuseum/a/poi-sig/409038/1342297,Bayerisches Nationalmuseum,"Picture the classic 19th-century museum, a palatial neoclassical edifice overflowing with exotic treasure and thought-provoking works of art, a repository…",Munich,must_see,Munich
https://lp-cms-production.imgix.net/2019-06/7d22fde900052cf2b826713f2974d64b-deutsches-museum.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/munich/haidhausen-lehel/attractions/deutsches-museum/a/poi-sig/409006/1342298,Deutsches Museum,"If you’re one of those people for whom science is an unfathomable turn-off, a visit to the Deutsches Museum might just show you that physics and…",Munich,must_see,Munich
https://lp-cms-production.imgix.net/2019-06/059131c8846ebf735c00d1ffa00ebf7b-bmw-welt-museum.jpg?auto=format&fit=crop&ar=1:1&q=75,https://www.lonelyplanet.com/germany/munich/nymphenburg-neuhausen-olympiapark/attractions/bmw-welt/a/poi-sig/409300/1342299,BMW Welt,"Next to the Olympiapark, the glass-and-steel, double-cone tornado spiralling down from a dark cloud the size of an aircraft carrier holds BMW Welt, truly…",Munich,must_see,Munich
https://lonelyplanetstatic.imgix.net/marketing/placeholders/placeholder-attractions.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/munich/maxvorstadt/attractions/museum-brandhorst/a/poi-sig/1207691/1342296,Museum Brandhorst,"A big, bold and aptly abstract building, clad entirely in vividly multihued ceramic tubes, the Brandhorst jostled its way into the Munich Kunstareal in a…",Munich,must_see,Munich
https://lonelyplanetstatic.imgix.net/marketing/placeholders/placeholder-attractions.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/munich/altstadt-residenz/attractions/asamkirche/a/poi-sig/409010/1342295,Asamkirche,"Though pocket sized, the late-baroque Asamkirche, built in 1746, is as rich and epic as a giant's treasure chest. Its creators, the brothers Cosmas Damian…",Munich,must_see,Munich
https://lonelyplanetstatic.imgix.net/marketing/placeholders/placeholder-attractions.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/munich/altstadt-residenz/attractions/cuvillies-theater/a/poi-sig/1139733/1342295,Cuvilliés-Theater,"Commissioned by Maximilian III in the mid-18th century, François Cuvilliés fashioned one of Europe's finest rococo theatres. Famous for hosting the…",Munich,must_see,Munich
https://lonelyplanetstatic.imgix.net/marketing/placeholders/placeholder-attractions.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/munich/maxvorstadt/attractions/kunstareal/a/poi-sig/1597357/1342296,Kunstareal,"The Kunstareal is the compact Maxvorstadt area, roughly defined by Türkenstrasse, Schellingstrasse, Luisenstrasse and Karlstrasse, which is packed with…",Munich,must_see,Munich
https://lp-cms-production.imgix.net/2019-06/7f7ea3b81902930977bc323a3473687b-munchner-stadtmuseum.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/munich/altstadt-residenz/attractions/muenchner-stadtmuseum/a/poi-sig/409406/1342295,Münchner Stadtmuseum,"Installed for the city's 850th birthday (2008), the Münchner Stadtmuseum's Typisch München (Typically Munich) exhibition – taking up the whole of a…",Munich,must_see,Munich
https://lonelyplanetstatic.imgix.net/marketing/placeholders/placeholder-attractions.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/munich/nymphenburg-neuhausen-olympiapark/attractions/olympiapark/a/poi-sig/1208047/1342299,Olympiapark,The area to the north of the city where soldiers once paraded and the world's first Zeppelin landed in 1909 found a new role in the 1960s as the…,Munich,must_see,Munich
https://lonelyplanetstatic.imgix.net/marketing/placeholders/placeholder-attractions.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/munich/maxvorstadt/attractions/koenigsplatz/a/poi-sig/408982/1342296,Königsplatz,"Nothing less than the Acropolis in Athens provided the inspiration for Leo von Klenze's imposing Königsplatz, commissioned by Ludwig I and anchored by a…",Munich,must_see,Munich
https://lonelyplanetstatic.imgix.net/marketing/placeholders/placeholder-attractions.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/munich/altstadt-residenz/attractions/marienplatz/a/poi-sig/408978/1342295,Marienplatz,"The epicentral heart and soul of the Altstadt, Marienplatz is a popular gathering spot and packs a lot of personality into a compact frame. It's anchored…",Munich,must_see,Munich
https://lonelyplanetstatic.imgix.net/marketing/placeholders/placeholder-attractions.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/munich/maxvorstadt/attractions/neue-pinakothek/a/poi-sig/1206318/1342296,Neue Pinakothek,"The Neue Pinakothek harbours a well-respected collection of 19th- and early-20th-century paintings and sculpture, from rococo to Jugendstil (art nouveau)…",Munich,must_see,Munich
https://lonelyplanetstatic.imgix.net/marketing/placeholders/placeholder-attractions.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/munich/altstadt-residenz/attractions/munich-residenz/a/poi-sig/408980/1342295,Munich Residenz,Generations of Bavarian rulers expanded a medieval fortress into this vast and palatial compound that served as their primary residence and seat of…,Munich,must_see,Munich
https://lonelyplanetstatic.imgix.net/marketing/placeholders/placeholder-attractions.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/munich/attractions/allianz-arena/a/poi-sig/1139835/1320849,Allianz Arena,"Sporting and architecture fans alike should take a side trip to the northern suburb of Fröttmaning to see the ultraslick €340-million Allianz Arena,…",Munich,must_see,Munich
https://lonelyplanetstatic.imgix.net/marketing/placeholders/placeholder-attractions.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/munich/nymphenburg-neuhausen-olympiapark/attractions/bmw-museum/a/poi-sig/1139814/1342299,BMW Museum,"This silver, bowl-shaped museum comprises seven themed 'houses' that examine the development of BMW's product line and include sections on motorcycles and…",Munich,must_see,Munich
https://lonelyplanetstatic.imgix.net/marketing/placeholders/placeholder-attractions.jpg?auto=format&fit=crop&ar=1:1&q=75&w=1200,https://www.lonelyplanet.com/germany/munich/schwabing-the-englischer-garten/attractions/denkstaette-weisse-rose/a/poi-sig/1206319/1342297,DenkStätte Weisse Rose,This memorial exhibit to the Weisse Rose (White Rose; a nonviolent resistance group led by Munich University students Hans and Sophie Scholl to oppose the…,Munich,must_see,Munich
