website,name,score,reviews,type,duration,comment1,price,group,city
https://www.tripadvisor.com/AttractionProductReview-g187323-d11449980-Discover_Berlin_Half_Day_Walking_Tour-Berlin.html,Discover Berlin Half-Day Walking Tour,5.0 of 5 bubbles,"4,191",Historical Tours,3–4 hours,"See many of Berlin's most important landmarks and highlights, with informative commentary from your guide, on this half-…",$22,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d26693507-River_Cruise_with_Tour_Guide_in_Berlin_Hadynski-Berlin.html,River Cruise with Tour Guide in Berlin. Hadynski,4.5 of 5 bubbles,36,On the Water,1 hour,Enjoy our 1 hour river cruise through the old and new part of Berlin. Take in a different perspective on the buildings while…,$21,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d25191285-Berlin_Third_Reich_and_Cold_War_2_Hour_Walking_Tour-Berlin.html,Berlin Third Reich and Cold War 2-Hour Walking Tour,5.0 of 5 bubbles,124,Historical Tours,2 hours,Learn the tumultuous contemporary history of Berlin on a guided walking tour of the city's iconic Third Reich and Cold War…,$22,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d17719899-Big_Bus_Berlin_Hop_On_Hop_Off_Sightseeing_Tour-Berlin.html,Big Bus Berlin Hop-On Hop-Off Sightseeing Tour,4.0 of 5 bubbles,404,Audio Guides,2 hours,Enjoy this perfect introduction to Berlin on a Hop on Hop off Big Bus tour. Sitting back and relaxing on an open-top double…,$27,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d11482436-Berlin_Food_Walking_Tour_With_Secret_Food_Tours-Berlin.html,Berlin Food Walking Tour With Secret Food Tours,5.0 of 5 bubbles,477,Food & Drink,3 hours,"With so much great food in East Berlin, it can be difficult to choose the best places to eat. This walking tour lets you…",$105,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d11452019-Sachsenhausen_Concentration_Camp_Memorial_Tour_from_Berlin-Berlin.html,Sachsenhausen Concentration Camp Memorial Tour from Berlin.,5.0 of 5 bubbles,"1,581",Historical Tours,5–6 hours,"Get the most out of your visit to Sachsenhausen, one of the first concentration camps in Germany, by touring with an English…",$32,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d11452024-Explore_Berlin_s_Top_Attractions_3_hour_English_Walking_Tour-Berlin.html,Explore Berlin's Top Attractions 3-hour English Walking Tour,5.0 of 5 bubbles,"1,505",Historical Tours,3 hours,Get an in-depth look at Berlin's highlights and hidden sights on this guided walking tour. Visit landmarks such as Checkpoint…,$22,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d25354720-Berlin_Craft_Beer_and_Cultural_Tour_With_Snacks-Berlin.html,Berlin Craft Beer and Cultural Tour With Snacks,5.0 of 5 bubbles,135,Food & Drink,3–4 hours,"We are Margot + Alex from Walk With Us Tours and we can't wait to show you around our beloved Berlin! 

Picture this: you…",$98,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d15341458-Berlin_Highlights_3_Hour_Bike_Tour-Berlin.html,Berlin Highlights 3-Hour Bike Tour,5.0 of 5 bubbles,431,Historical Tours,3 hours,See a side of Berlin that’s usually reserved for locals on a half-day bike tour. Without having to worry about getting stuck…,$38,per adult,berlin
,,,Plan your perfect day trip from Berlin.,Read now,,,,,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d11452027-Third_Reich_Berlin_WalkingTour_Hitler_and_WWII-Berlin.html,Third Reich Berlin WalkingTour Hitler and WWII,5.0 of 5 bubbles,742,Historical Tours,3 hours,"The Nazi surrender that ended the Second World War is still a point of interest for any visitor to Berlin, but matching …",$22,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d26766329-Romantic_moonlight_trip_by_ship_through_Berlin-Berlin.html,Romantic moonlight trip by ship through Berlin,,,Food & Drink,2–3 hours,"Spend the evening hours on the water. On the romantic moonlight trip through Berlin, you can listen to the waves together…",$35,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d17616676-Private_Berlin_Complete_History_All_Day_Walking_Tour-Berlin.html,Private Berlin Complete History All Day Walking Tour,5.0 of 5 bubbles,154,Historical Tours,6–7 hours,Join our expert guide on this one of a kind Berlin in a Day Tour. This tour is designed for guests who want to visit many…,$216,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d17634300-Berlin_Icebar_Experience_Including_3_drinks-Berlin.html,Berlin Icebar Experience Including 3 drinks,4.5 of 5 bubbles,856,Food & Drink,1 hour,"At the Berlin Icebar everything is made of ice, from the walls and furniture to the very glass you sip your beverage out…",$25,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d19198965-Berlin_Highlights_Private_Guided_Walking_Tour-Berlin.html,Berlin Highlights Private Guided Walking Tour,5.0 of 5 bubbles,52,Historical Tours,4 hours,"The most comprehensive 4-hour Berlin tour available, encompassing the city's unique history, with our guides remaining flexible…",$304,per group,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d25013740-East_Berlin_Food_and_History_Walking_Tour-Berlin.html,East Berlin Food and History Walking Tour,5.0 of 5 bubbles,63,Food & Drink,3–4 hours,"East Berlin is a true melting pot and we have created an itinerary that explores the foods, events, and people who have …",$110,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d26247011-Berlin_boat_sightseeing_tour_on_electrified_vintage_yacht-Berlin.html,Berlin boat sightseeing tour on electrified vintage yacht,4.5 of 5 bubbles,29,Food & Drink,1–2 hours,"What sets this tour apart is the extraordinary combination of elegance, exclusivity and environmental awareness. The motor…",$54,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d27435643-Berlin_Urbex_Adventure_and_History_Tour-Berlin.html,Berlin Urbex Adventure and History Tour,5.0 of 5 bubbles,5,Historical Tours,3 hours,"With a lot of fun, guided by an urban explorer-veteran, you will dive deep inside the URBEX culture and feel on your skin…",$76,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d11467803-Berlin_Highlights_Small_Group_Bike_Tour-Berlin.html,Berlin Highlights Small-Group Bike Tour,5.0 of 5 bubbles,324,Historical Tours,3–4 hours,Discover Berlin on a bike in a 3.5-hour tour and get to know the city's highlights. Your knowledgeable bike guide will make…,$37,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d12934907-Berlin_Sachsenhausen_Concentration_Camp_Memorial_Tour-Berlin.html,Berlin: Sachsenhausen Concentration Camp Memorial Tour,4.5 of 5 bubbles,213,Historical Tours,6 hours,Leave Berlin for a half-day tour to the Memorial and Museum Sachsenhausen with a professional guide. This tour is a stern…,$26,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d26351930-Berlin_East_Side_Tour_2_5_hour_cruise_with_commentary-Berlin.html,Berlin East Side Tour 2.5 hour cruise with commentary,4.5 of 5 bubbles,6,Audio Guides,2–3 hours,"34 years after the fall of the Berlin Wall, the BWSG is offering a boat tour that traces part of the border in what is now…",$33,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d16796598-Sachsenhausen_Concentration_Camp_Memorial_Bus_Tour_from_Berlin-Berlin.html,Sachsenhausen Concentration Camp Memorial: Bus Tour from Berlin,5.0 of 5 bubbles,53,Historical Tours,4 hours,"With this private, modern, air-con bus tour to the Sachsenhausen Concentration Camp Memorial, your professional, English…",$66,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d25127959-Potsdam_Private_Walk_Tour_from_Berlin-Berlin.html,Potsdam Private Walk Tour from Berlin,5.0 of 5 bubbles,13,Historical Tours,6 hours,"Experience the Essence of Potsdam's UNESCO World Heritage Magic. Potsdam, a city that not only boasts picturesque palaces…",$150,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d26351935-Berlin_sightseeing_boat_tour_on_the_Spree-Berlin.html,Berlin sightseeing boat tour on the Spree,4.0 of 5 bubbles,11,Audio Guides,1 hour,Experience Berlin from the water! Experience the center in a relaxed manner with us on the Spree. Glide past the most beautiful…,$24,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d17746645-Best_of_Berlin_Segway_Tour-Berlin.html,Best of Berlin Segway Tour,5.0 of 5 bubbles,44,Historical Tours,60–150 minutes,Explore Berlin by Segway and spin to top attractions in style . Hop on your Segway and following a little practise head …,$50,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d11483463-Berlin_Self_Drive_Trabi_Tour_with_Guide-Berlin.html,Berlin Self-Drive Trabi Tour with Guide,4.5 of 5 bubbles,311,Bus Tours,1–2 hours,"Germany’s vibrant capital, Berlin, is famous for its many cultural and historical attractions. See its highlights in one…",$87,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d15777763-City_Bus_Tour_of_Berlin_Sachsenhausen_Concentration_Camp_and_Potsdam-Berlin.html,"City Bus Tour of Berlin, Sachsenhausen Concentration Camp and Potsdam",5.0 of 5 bubbles,164,Historical Tours,6+ hours,We will start an excursion full of comforts that will take us to discover the most exciting history of Berlin and what better…,$72,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d11485311-Berlin_Wall_Self_Drive_Trabi_Tour-Berlin.html,Berlin Wall Self-Drive Trabi Tour,4.5 of 5 bubbles,38,Bus Tours,2–3 hours,Enjoy a 2 hours and 15 minutes self-drive tour of the Berlin Wall in the official car of the DDR (GDR) with a live guide…,$110,per adult,berlin
