website,name,score,reviews,type,duration,comment1,price,group,city
https://www.tripadvisor.com/AttractionProductReview-g187331-d17808043-The_Local_Tour_of_Hamburg_Historic_Centre-Hamburg.html,The Local Tour of Hamburg Historic Centre,5.0 of 5 bubbles,784,Historical Tours,2 hours,"Pay-What-You-Want tour with booking fee!

Witness the rise and fall of Hamburg throughout its history: its glorious past…",$3,per adult,hamburg
https://www.tripadvisor.com/AttractionProductReview-g187331-d11474218-Private_Small_Group_Hamburg_City_Tour_with_a_Luxury_Vehicle-Hamburg.html,Private Small-Group Hamburg City Tour with a Luxury Vehicle,5.0 of 5 bubbles,178,Historical Tours,3 hours,"Welcome to our beloved Hamburg.
I´m a former and long-time police officer, born and raised in Hamburg. I know every stone…",$264,per group,hamburg
https://www.tripadvisor.com/AttractionProductReview-g187331-d16939214-Hop_on_hop_off_on_the_water_with_the_Maritime_Circle_Line_in_Hamburg-Hamburg.html,Hop-on hop-off on the water with the Maritime Circle Line in Hamburg,4.0 of 5 bubbles,63,Day Cruises,1–2 hours,A sightseeing harbor cruise with the Maritime Circle Line crowns every visit to Hamburg. Let yourself be impressed by the…,$22,per adult,hamburg
https://www.tripadvisor.com/AttractionProductReview-g187331-d12876110-Hamburg_Dungeon_Admission_Ticket-Hamburg.html,Hamburg Dungeon Admission Ticket,4.0 of 5 bubbles,187,Historical Tours,1–2 hours,Experience 600 years of dark history - if you dare! The Hamburg Dungeon takes you on a journey through time into the city…,$31,per adult,hamburg
https://www.tripadvisor.com/AttractionProductReview-g187331-d23597617-Hamburg_2_hour_harbor_tour_on_the_beautiful_Elbe-Hamburg.html,Hamburg 2-hour harbor tour on the beautiful Elbe,3.5 of 5 bubbles,21,Historical Tours,2 hours,"We offer an extensive Hamburg XXL harbor tour that has it all ...
2 hours of information and sights about our fascinating…",$38,per adult,hamburg
https://www.tripadvisor.com/AttractionProductReview-g187331-d21123402-Treasure_Hunt_through_Hamburgs_HafenCity-Hamburg.html,Treasure Hunt through Hamburgs HafenCity,5.0 of 5 bubbles,163,Fun & Games,2–3 hours,"A unique connection between solving riddles and exploring HafenCity. We've created a fantastic route for you, during which…",$22,per adult,hamburg
https://www.tripadvisor.com/AttractionProductReview-g187331-d11458028-Hamburg_Private_Guided_Tour-Hamburg.html,Hamburg Private Guided Tour,5.0 of 5 bubbles,8,Historical Tours,3 hours,Enjoy the Private Guided Tour: Hamburg and discover the many different locations and landmarks in this unique city and experience…,$360,per group,hamburg
https://www.tripadvisor.com/AttractionProductReview-g187331-d11450078-Hamburg_Hop_on_Hop_off_Sightseeing_Tour_on_Red_Double_Decker_Bus-Hamburg.html,Hamburg Hop-on Hop-off Sightseeing Tour on Red Double Decker Bus,3.5 of 5 bubbles,174,Audio Guides,1–2 hours,"For Hamburg travelers that want the flexibility of independent travel, with the convenience of easy transportation, don'…",$20,per adult,hamburg
https://www.tripadvisor.com/AttractionProductReview-g187331-d23723950-Private_2_Hour_Hamburg_Highlights_Walking_Tour-Hamburg.html,Private 2-Hour Hamburg Highlights Walking Tour,5.0 of 5 bubbles,62,Historical Tours,2 hours,We aim to offer exciting and interactive walking tours that will allow you to immerse yourself in everything the wonderful…,$277,per group,hamburg
https://www.tripadvisor.com/AttractionProductReview-g187331-d27135705-Fairy_Flight_self_guided_city_puzzles_in_Hamburg_with_your_smartphone-Hamburg.html,Fairy Flight self-guided city puzzles in Hamburg with your smartphone,,,Fun & Games,3 hours,"The game is a combination of puzzle fun, city exploration and getting to know new cafés, restaurants and pubs that is unique…",$29,per group,hamburg
