website,name,score,reviews,type,duration,comment1,price,group,city
https://www.tripadvisor.com/AttractionProductReview-g187309-d11447933-Neuschwanstein_Castle_and_Linderhof_VIP_All_Inc_Tour_from_Munich-Munich_Upper_Bava.html,Neuschwanstein Castle and Linderhof VIP All-Inc Tour from Munich,4.5 of 5 bubbles,445,Sightseeing Packages,6+ hours,Leave Munich for a full-day tour to two royal castles and the picturesque village of Oberammergau. Take in the lush scenery…,$215,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d17517296-Neuschwanstein_Castle_and_Linderhof_Palace_Day_Trip_from_Munich-Munich_Upper_Bavar.html,Neuschwanstein Castle and Linderhof Palace Day Trip from Munich,4.5 of 5 bubbles,242,Historical Tours,6+ hours,"Drive with an airconditioned, comfortable coach from Munich and visit the famous and fabulous castles built by the fairytale…",$76,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d11447924-Neuschwanstein_Castle_and_Linderhof_Palace_Day_Tour_from_Munich-Munich_Upper_Bavar.html,Neuschwanstein Castle and Linderhof Palace Day Tour from Munich,4.5 of 5 bubbles,"1,381",Historical Tours,6+ hours,"Bavaria is famous for its fairy-tale castles, built by King Ludwig II, the “Mad King,” and this tour from Munich visits …",$80,per adult,munich
,,,How to navigate Munich’s museums like a pro,"Soccer fans, art lovers, and design nerds have plenty to explore in Munich's museums.",Read now,,,,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d11447815-Dachau_Concentration_Camp_Memorial_Site_Tour_from_Munich_by_Train-Munich_Upper_Bav.html,Dachau Concentration Camp Memorial Site Tour from Munich by Train,5.0 of 5 bubbles,"1,313",Historical Tours,5 hours,Visiting Germany’s Dachau Concentration Camp Memorial Site with a guide makes sure you don’t miss a thing while on this …,$52,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d11447816-Neuschwanstein_Castle_Tour_from_Munich-Munich_Upper_Bavaria_Bavaria.html,Neuschwanstein Castle Tour from Munich,5.0 of 5 bubbles,"1,152",Historical Tours,6+ hours,"Visiting Bavaria’s magical Neuschwanstein Castle by train makes it an even more memorable experience. On this tour, relax…",$80,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d11447825-Third_Reich_Walking_Tour_Munich-Munich_Upper_Bavaria_Bavaria.html,Third Reich Walking Tour Munich,5.0 of 5 bubbles,"1,516",Historical Tours,2–3 hours,"As birthplace of the Nazi Party and home of its headquarters, the history of Munich is intricately connected to one of the…",$35,per adult,munich
,,,How to navigate Munich’s museums like a pro,"Soccer fans, art lovers, and design nerds have plenty to explore in Munich's museums.",Read now,,,,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d11447822-Salzburg_Sightseeing_Day_Trip_from_Munich_by_Rail-Munich_Upper_Bavaria_Bavaria.html,Salzburg Sightseeing Day Trip from Munich by Rail,5.0 of 5 bubbles,666,Historical Tours,6+ hours,The monuments and alpine scenery of Salzburg's UNESCO World Heritage Site lie just over the border from Radius Tours Office…,$80,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d11447811-Bavarian_Beer_and_Food_Evening_Tour_in_Munich-Munich_Upper_Bavaria_Bavaria.html,Bavarian Beer and Food Evening Tour in Munich,5.0 of 5 bubbles,409,Food & Drink,3–4 hours,Spend time enjoying Bavarian brewing culture on this guided beer and food evening tour. An included private tour of the …,$69,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d27163211-Fall_in_Love_with_Munich_in_a_Private_Old_Town_Walking_Tour-Munich_Upper_Bavaria_B.html,Fall in Love with Munich in a Private Old Town Walking Tour,5.0 of 5 bubbles,2,Historical Tours,2 hours,"The tour is designed to make your acquaintance with Munich in a brief, but many-sided manner. We will pace along a 1,5 km…",$133,per group,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d11812386-Romantic_Road_Rothenburg_and_Harburg_Day_Tour_from_Munich-Munich_Upper_Bavaria_Bav.html,"Romantic Road, Rothenburg, and Harburg Day Tour from Munich",4.5 of 5 bubbles,152,Historical Tours,6+ hours,"With round-trip transport from central Munich, this full-day tour allows you to explore two medieval villages along Germany…",$82,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d11446049-Guided_Dachau_Concentration_Camp_Memorial_Site_Tour_with_Train_from_Munich-Munich_.html,Guided Dachau Concentration Camp Memorial Site Tour with Train from Munich,5.0 of 5 bubbles,389,Historical Tours,5 hours,Visit the Dachau Concentration Camp Memorial Site on a small-group tour that includes round-trip transportation by train…,$66,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d21324346-Munich_Ghosts_and_Spirits_Evening_Walking_Tour-Munich_Upper_Bavaria_Bavaria.html,Munich Ghosts and Spirits Evening Walking Tour,5.0 of 5 bubbles,620,Halloween,120–150 minutes,"We are the only regularly scheduled Munich ghost tour with a living, breathing, English-speaking guide, and the only ghost…",$54,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d11447820-Munich_Old_Town_Walking_Tour-Munich_Upper_Bavaria_Bavaria.html,Munich Old Town Walking Tour,4.5 of 5 bubbles,464,Historical Tours,2 hours,Exploring Munich Old Town alone may leave you with only a sketchy take on its sights and history. With this walking tour…,$22,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d11447920-Berchtesgaden_and_Eagle_s_Nest_Day_Tour_from_Munich-Munich_Upper_Bavaria_Bavaria.html,Berchtesgaden and Eagle's Nest Day Tour from Munich,4.5 of 5 bubbles,166,Historical Tours,6+ hours,Berchtesgaden’s Eagle’s Nest—Adolf Hitler’s one-time mountain hideaway—lies southeast of Munich in Germany’s Bavarian Alps…,$72,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d12284557-Munich_Sightseeing_Guided_Bike_Tour-Munich_Upper_Bavaria_Bavaria.html,Munich Sightseeing Guided Bike Tour,5.0 of 5 bubbles,527,Historical Tours,3–4 hours,See more of Munich in a short amount of time than you might on foot with a bicycle tour through the heart of the city. Going…,$44,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d17517294-Berchtesgaden_and_Eagle_s_Nest_Day_Trip_from_Munich-Munich_Upper_Bavaria_Bavaria.html,Berchtesgaden and Eagle's Nest Day Trip from Munich,4.5 of 5 bubbles,127,Historical Tours,6+ hours,The impressive mountain scenery and the beautiful landscape of the Berchtesgadener Land will definitely fascinate you. A…,$70,per adult,munich
,,,See something you love? Click the heart to save it,And see all your saved travel ideas on a map,Get Started,,,,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d21032263-Lunch_Like_a_Local_Munich_s_ORIGINAL_Viktualienmarkt_Food_Tour-Munich_Upper_Bavari.html,Lunch Like a Local: Munich's ORIGINAL Viktualienmarkt Food Tour,5.0 of 5 bubbles,118,Food & Drink,3–4 hours,"If you ask the locals, they will tell you that the one must-do activity in Munich is to spend the day in the beautiful Viktualienmarkt…",$143,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d11478782-Beer_and_Brewery_Tour_in_Munich-Munich_Upper_Bavaria_Bavaria.html,Beer and Brewery Tour in Munich,4.5 of 5 bubbles,35,Food & Drink,3–4 hours,Beer aficionados will delight in a behind-the-scenes look at the world's beer capital during this 3.5-hour evening in Munich…,$48,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d17517295-VIP_Day_Trip_Neuschwanstein_and_Linderhof_Castle_from_Munich-Munich_Upper_Bavaria_.html,VIP Day Trip Neuschwanstein and Linderhof Castle from Munich,4.5 of 5 bubbles,10,Historical Tours,6+ hours,Discover the sights of Linderhof and Neuschwanstein. Our comfortable coach will take you with a smaller group to the castles…,$187,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d17717974-Munich_Private_Custom_Walking_Tour_with_a_Local-Munich_Upper_Bavaria_Bavaria.html,Munich Private Custom Walking Tour with a Local,5.0 of 5 bubbles,162,Historical Tours,2–8 hours,"There's so much to experience in Munich and while you couldn't possibly see it all in a few hours, you could have fun trying…",$116,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d27105937-Munich_Residenz_Museum_Tickets_and_2_5_hour_Guided_Tour-Munich_Upper_Bavaria_Bavar.html,"Munich Residenz Museum Tickets and 2,5-hour Guided Tour",,,Historical Tours,2–3 hours,"Discover the splendor of Munich Residenz, the center of power, artistry, and regal life that defines Bavaria's royal history…",$42,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d11475128-Dachau_Concentration_Camp_Memorial_Tour_with_Train_from_Munich-Munich_Upper_Bavari.html,Dachau Concentration Camp Memorial Tour with Train from Munich,4.5 of 5 bubbles,209,Historical Tours,5 hours,Get the most out of your visit to Germany’s Dachau Concentration Camp Memorial Site during this walking tour from Munich…,$46,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d13412309-Neuschwanstein_Castle_Linderhof_Ettal_Oberammergau_Private_Tour_from_Munich-Munich.html,"Neuschwanstein Castle, Linderhof, Ettal, Oberammergau Private Tour from Munich",5.0 of 5 bubbles,35,Historical Tours,8–11 hours,"Please go ahead and book, we shall confirm within 24 hours. 

PLEASE BE AWARE THAT THE TICKETS FOR THE CASTLE ARE NOT INCL…","$1,250",per group,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d11447922-Zugspitze_Germany_s_Highest_Mountain_Day_Tour_from_Munich-Munich_Upper_Bavaria_Bav.html,"Zugspitze, Germany's Highest Mountain, Day Tour from Munich",4.5 of 5 bubbles,46,Full-day Tours,6+ hours,"With round-trip transport from Munich, this full-day tour to the Wetterstein Mountains is a convenient way to sightsee without…",$132,per adult,munich
,,,Travelers’ Choice Best of the Best Destinations,"Our top 1%, powered by real reviews.",See the list,,,,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d17645766-Munich_Beer_and_Bavarian_Bites_Small_Group_Tour-Munich_Upper_Bavaria_Bavaria.html,Munich Beer and Bavarian Bites Small-Group Tour,5.0 of 5 bubbles,60,Food & Drink,3–4 hours,"This is the ultimate beer experience, offering more beers than any other tour in Munich!

​Our expansive Beer Tour and Bites…",$177,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d11458216-Full_Day_Dachau_Concentration_Camp_Memorial_Site_Tour_from_Munich-Munich_Upper_Bav.html,Full-Day Dachau Concentration Camp Memorial Site Tour from Munich,5.0 of 5 bubbles,285,Public Transportation Tours,6 hours,Dachau Concentration Camp Memorial Site is a place that acts as a memorial to those who lost their lives at this former …,$50,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d11447929-FC_Bayern_Munich_Allianz_Arena_Tour_and_Panoramic_Munich_Tour-Munich_Upper_Bavaria.html,FC Bayern Munich Allianz Arena Tour and Panoramic Munich Tour,4.0 of 5 bubbles,35,Museums,5 hours,"Are you a fan of FC Bayern Munich? After a city tour of Munich, we will visit the FC Bayern grounds and experience the Allianz…",$53,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d11447818-Nuremberg_Guided_Day_Trip_from_Munich_by_Train-Munich_Upper_Bavaria_Bavaria.html,Nuremberg Guided Day Trip from Munich by Train,4.5 of 5 bubbles,113,Historical Tours,6+ hours,"With a round-trip train ticket included, this full-day trip to Nuremberg is a convenient choice for visitors who want to…",$80,per adult,munich
,,,Keep on planning,"What to do, where to eat & more trip inspo.",See more,,,,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d13921104-Dachau_Small_Group_Half_Day_Tour_from_Munich_By_Train-Munich_Upper_Bavaria_Bavaria.html,Dachau Small-Group Half-Day Tour from Munich By Train,5.0 of 5 bubbles,224,Historical Tours,5 hours,Pay respects to the innocent victims of Hitler’s Nazi regime on this walking tour of Dachau concentration camp and memorial…,$50,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d11447921-Salzburg_and_Lake_District_Day_Tour_from_Munich-Munich_Upper_Bavaria_Bavaria.html,Salzburg and Lake District Day Tour from Munich,4.5 of 5 bubbles,103,Historical Tours,6+ hours,Plan a stress-free visit to Salzburg on this full-day tour that includes convenient round-trip transport from central Munich…,$76,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d17554992-Munich_Viktualienmarkt_and_Beyond_Small_Group_Food_Tasting_Tour-Munich_Upper_Bavar.html,Munich Viktualienmarkt and Beyond Small-Group Food Tasting Tour,5.0 of 5 bubbles,142,Food & Drink,3 hours,"Our Munich Food Tour dives head first into this unique food scene by sampling classic hearty dishes, delicious Bavarian …",$155,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d11447817-Munich_World_War_II_Sites_Including_Dachau_Concentration_Camp-Munich_Upper_Bavaria.html,Munich World War II Sites Including Dachau Concentration Camp,4.5 of 5 bubbles,147,Historical Tours,6+ hours,This time-saving Munich combo tour is the ideal option for travelers interested in World War II history. Save time planning…,$83,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d17680337-Paul_s_Private_Tour_in_Munich_old_City-Munich_Upper_Bavaria_Bavaria.html,Paul's Private Tour in Munich old City,5.0 of 5 bubbles,10,Historical Tours,2–3 hours,"I offer a balanced mix between shop, actualities and history making your visit to my town a memorable experience.

As an…",$138,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d17063362-Dachau_Tour_from_Munich-Munich_Upper_Bavaria_Bavaria.html,Dachau Tour from Munich,5.0 of 5 bubbles,442,Historical Tours,5 hours,"All of our guides are officially authorized to lead tours at Dachau.

All of our guides have over ten years experience.

…",$50,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d11447812-Munich_Small_Group_Bike_Tour-Munich_Upper_Bavaria_Bavaria.html,Munich Small-Group Bike Tour,5.0 of 5 bubbles,211,Historical Tours,3 hours,Munich is one of Europe's most bicycle-friendly cities. Book a tour that allows you to sightsee on a bike without the stress…,$44,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d18274926-Munich_Half_Day_Tour_with_a_Local_100_Personalized_Private-Munich_Upper_Bavaria_Ba.html,Munich Half Day Tour with a Local: 100% Personalized & Private,5.0 of 5 bubbles,7,Historical Tours,3–4 hours,You’ll join one of our local Munich hosts to explore the city that’s immersed in the dreamy Bavarian culture. Wander through…,$152,per adult,munich
,,,3 perfect days in Munich,"Here's how to make the most of three days in Munich, from the best beer stops to the eye-catching palaces.",Read now,,,,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d21189312-Eagle_s_Nest_Lake_Konigssee_and_Fuehrer_Headquarters_Private_Tour_from_Munich-Muni.html,"Eagle's Nest, Lake Königssee and 'Fuehrer Headquarters' Private Tour from Munich",5.0 of 5 bubbles,4,Historical Tours,570–660 minutes,"Spectacular views, an idyllic, crystal clear mountain lake, and German history from the Middle Ages to the infamous Nazi…",$721,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d13556831-Munich_in_the_3rd_Reich_and_WW2_private_walking_tour-Munich_Upper_Bavaria_Bavaria.html,Munich in the 3rd Reich and WW2 private walking tour,5.0 of 5 bubbles,64,Historical Tours,210–270 minutes,Munich was the birthplace of the Nazi Party and as such is an important place to visit for any student of WW2. On this walking…,$332,per group,munich
https://www.tripadvisor.com/AttractionProductReview-g1585908-d25846585-Munich_Third_Reich_and_WWII_Segway_Tour-Oettingen_in_Bayern_Swabia_Bavaria.html,Munich Third Reich and WWII Segway Tour,5.0 of 5 bubbles,1,Historical Tours,3 hours,"You will have a safe trip. In a small group, a guide always controls the situation much better and if necessary, reacts …",$76,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d13412310-Neuschwanstein_Castle_by_Bus_Incl_Bike_Ride_or_Hohenschwangau-Munich_Upper_Bavaria.html,Neuschwanstein Castle by Bus Incl. Bike Ride or Hohenschwangau,5.0 of 5 bubbles,165,Historical Tours,6+ hours,"WE GUARANTEE ""SKIP THE LINE"" CASTLE TICKETS allowing you to tailor your day (prices are 22,50 for adults and 4,00€ for children…",$83,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d27435536-Hop_On_Hop_Off_Tour_CitySightseeing_Munich-Munich_Upper_Bavaria_Bavaria.html,Hop-On Hop-Off Tour CitySightseeing Munich,4.0 of 5 bubbles,8,Architecture Tours,1 hour,Embark on a panoramic hop-on-hop-off tour of Munich aboard a double-decker bus with the added benefit of an audioguide available…,$24,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d17306410-Open_Group_Munich_City_Immersion-Munich_Upper_Bavaria_Bavaria.html,Open Group Munich City Immersion,5.0 of 5 bubbles,219,Food & Drink,4 hours,"For 17 years our motto is, ""Let's get you local."" Our City Immersion Tour is the foundation of every tour we offer. We offer…",$30,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d19150095-Paul_s_Bavarian_Beer_and_Food_Event-Munich_Upper_Bavaria_Bavaria.html,Paul's Bavarian Beer and Food Event,4.5 of 5 bubbles,22,Food & Drink,2–3 hours,"Munich is famous for it's beer. Before this city became world famous, there was a lot of history to be told.

Beer halls…",$133,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d16795297-Neuschwanstein_Castle_Luxurious_Private_Tour_from_Munich-Munich_Upper_Bavaria_Bava.html,Neuschwanstein Castle Luxurious Private Tour from Munich,5.0 of 5 bubbles,8,Audio Guides,8–10 hours,"• Comfortable Mercedes V-Class Van
• Professional guide speaking english. 
• Child seat can be provided on request. 
• Incl…",$570,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d13703215-Neuschwanstein_Castle_Ettal_Abbey_and_Oberammergau_Private_Tour_from_Munich-Munich.html,"Neuschwanstein Castle, Ettal Abbey and Oberammergau Private Tour from Munich",5.0 of 5 bubbles,67,Historical Tours,6+ hours,"Swap the hustle and bustle of Munich for a scenic day trip that covers Neuschwanstein Castle, Ettal Abbey and Oberammergau…",$643,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d20270114-Private_Viktualienmarkt_Food_Tour_and_Beyond_best_Munich_tastings-Munich_Upper_Bav.html,Private - Viktualienmarkt Food Tour and Beyond - best Munich tastings,5.0 of 5 bubbles,8,Food & Drink,3–4 hours,"Our Munich Food Tour dive head first into this unique food scene by sampling classic hearty dishes, delicious Bavarian spreads…",$232,per adult,munich
,,,See something you love? Click the heart to save it,And see all your saved travel ideas on a map,Get Started,,,,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d17330232-Munich_City_Bike_Tour_Beer_Garden_Lunch_Stop-Munich_Upper_Bavaria_Bavaria.html,Munich City Bike Tour + Beer Garden Lunch Stop,5.0 of 5 bubbles,99,Historical Tours,4 hours,The Munich City Bike Tour is our all-in-one bicycle tour and is the perfect introduction to one of Germany's most historic…,$43,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d11450246-Munich_Segway_Tour-Munich_Upper_Bavaria_Bavaria.html,Munich Segway Tour,5.0 of 5 bubbles,26,Segway Tours,3–4 hours,"Cruise effortlessly through Munich's parks and sidewalks as you view the sights by Segway! Aboard the self-balancing, personal…",$80,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d17823927-Neuschwanstein_and_Hohenschwangau_Exclusive_Skip_the_Crowds_Tour-Munich_Upper_Bava.html,Neuschwanstein and Hohenschwangau Exclusive Skip-the-Crowds Tour,5.0 of 5 bubbles,25,Historical Tours,570–660 minutes,The famous Fairytale Castle NEUSCHWANSTEiN is the 2nd most visited attraction in Germany. It captivates 1.5M visitors with…,$688,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d27167458-Guided_Walking_Tour_of_Munich_Old_Town_with_Beer_Garden_Visit-Munich_Upper_Bavaria.html,Guided Walking Tour of Munich Old Town with Beer Garden Visit,5.0 of 5 bubbles,1,Historical Tours,3–4 hours,The Munich Old-Town guided walking tour provides the ideal introduction to this culturally rich German capital. During a…,$22,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d27163211-Fall_in_Love_with_Munich_in_a_Private_Old_Town_Walking_Tour-Munich_Upper_Bavaria_B.html,Fall in Love with Munich in a Private Old Town Walking Tour,5.0 of 5 bubbles,2,Historical Tours,2 hours,"The tour is designed to make your acquaintance with Munich in a brief, but many-sided manner. We will pace along a 1,5 km…",$133,per group,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d26789990-Munich_Surf_Experience_In_Munich_Eisbach_River_Wave-Munich_Upper_Bavaria_Bavaria.html,Munich Surf Experience In Munich Eisbach River Wave,5.0 of 5 bubbles,1,Adventure Tours,3–4 hours,"The Eisbachwelle is the largest, best and most consistent city centre location for river surfing. The waves on the Eisbach…",$133,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d26439957-Spooky_Saver_Munich_Ghosts_and_Spirits_Tour_True_Crime_Tour-Munich_Upper_Bavaria_B.html,Spooky Saver: Munich Ghosts and Spirits Tour & True Crime Tour,5.0 of 5 bubbles,3,Historical Tours,4–5 hours,"Our spooky super saver is perfect for all lovers of the strange, dark, and mysterious to get the most out of their visit…",$88,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d11477957-City_Walk_English_Garden_and_Colorful_History_Culture_in_the_City_Center-Munich_Up.html,City Walk + English Garden and Colorful History + Culture in the City Center,4.5 of 5 bubbles,42,Historical Tours,2 hours,See Munich's highlights on foot during this 2-hour walking tour of the city center's key attractions. With a professional…,$24,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d27430641-Death_and_Chocolate_Walking_Tour_of_Munich_s_Old_South_Cemetery-Munich_Upper_Bavar.html,Death and Chocolate: Walking Tour of Munich's Old South Cemetery,5.0 of 5 bubbles,5,Historical Tours,90–120 minutes,Discover the history of Munich through its glorious dead on this guided small-group tour of the Alter Sudfriedhof (Old South…,$32,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d23082481-Beer_and_Schnapps_Day_Drinking_Tour_of_Munich-Munich_Upper_Bavaria_Bavaria.html,Beer and Schnapps Day-Drinking Tour of Munich,5.0 of 5 bubbles,67,Food & Drink,3–4 hours,This is the ultimate Munich beer tour for beer lovers. Your guide will take you on a unique beer and schnapps experience…,$165,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d15063196-Munich_Private_Walking_Tour_With_A_Professional_Guide-Munich_Upper_Bavaria_Bavaria.html,Munich Private Walking Tour With A Professional Guide,5.0 of 5 bubbles,3,Historical Tours,2 hours,"Meetingpoint: Coach Parking Lane Isartor, Thomas Wimmer Ring 3 or Meeting Point at hotel possible if central, without extra…",$248,per group,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d11447919-Munich_City_Hop_on_Hop_off_Tour-Munich_Upper_Bavaria_Bavaria.html,Munich City Hop-on Hop-off Tour,3.0 of 5 bubbles,224,Audio Guides,2 hours,"This hop-on, hop-off bus ticket allows you to customize your own itinerary and enjoy the freedom to explore Munich at your…",$27,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d11479550-Dachau_Concentration_Camp_Memorial_Site_And_Third_Reich_Day_Tour_From_Munich-Munic.html,Dachau Concentration Camp Memorial Site And Third Reich Day Tour From Munich,5.0 of 5 bubbles,126,Historical Tours,6+ hours,"Join this full-day, small-group tour that combines a visit to Dachau Concentration Camp Memorial Site and a Third Reich …",$105,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d23585857-Munich_Third_Reich_and_Dachau_Concentration_Camp_Tour_with_Licensed_Guide-Munich_U.html,Munich Third Reich and Dachau Concentration Camp Tour with Licensed Guide,5.0 of 5 bubbles,1,Historical Tours,6+ hours,"The atrocities of the Nazi dictatorship must never be forgotten...

With this exclusive private tour you will get unique…",$711,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d26810176-Private_Day_Trip_Munich_To_Harburg_Dinkelsbuhl_Rothenburg-Munich_Upper_Bavaria_Bav.html,"Private Day Trip Munich To Harburg, Dinkelsbuhl & Rothenburg",5.0 of 5 bubbles,2,Full-day Tours,10–11 hours,What sets this day trip apart is the seamless transition from one charming location to another. The relatively short distances…,$459,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d25236524-The_Original_True_Crime_Walking_Tour_of_Munich-Munich_Upper_Bavaria_Bavaria.html,The Original True Crime Walking Tour of Munich,5.0 of 5 bubbles,57,Historical Tours,120–150 minutes,"Calling all True Crime Junkies! This is Munich's ORIGINAL True Crime Tour - an intimate, small-group tour designed by lovers…",$43,per adult,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d26319088-Munich_Private_Walking_Tour_including_the_BMW_Museum_and_BMW_Welt-Munich_Upper_Bav.html,Munich Private Walking Tour including the BMW Museum and BMW Welt,,,Historical Tours,4 hours,Experience the diverse and captivating treasures of Munich on a 4-hour tour that takes you beyond the well-known landmarks…,$498,per group,munich
https://www.tripadvisor.com/AttractionProductReview-g187309-d11475197-Third_Reich_Walking_Tour_Historic_Facts_and_Sites_in_Munich-Munich_Upper_Bavaria_B.html,Third Reich Walking Tour: Historic Facts and Sites in Munich,4.5 of 5 bubbles,51,Historical Tours,2–3 hours,Step back into Germany's dark past during this 2.5-hour Third Reich walking tour. Learn how Munich became an important center…,$30,per adult,munich
